(Poblacion Generaciones Mutacion Elemento Mutacion Teoria Mutacion Practica Torneo),(Selección Cruce Sustitucion),Mejor Generacion,Mejor Fitness,Tiempo
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),79,0.7263 ( 245 1.0000 0.9611 0.7227 0.5072 ) ,7.47 min
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),29,0.7200 ( 245 0.9997 0.9599 0.7121 0.4836 ) ,3.80 min
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),31,0.7268 ( 234 1.0000 0.9647 0.7212 0.4910 ) ,7.39 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),18,0.7205 ( 248 1.0000 0.9528 0.7150 0.5109 ) ,7.32 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),16,0.7139 ( 239 1.0000 0.9468 0.7077 0.4863 ) ,3.69 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),50,0.7119 ( 262 0.9995 0.9541 0.7187 0.4655 ) ,7.10 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),9,0.7045 ( 255 1.0000 0.9395 0.7063 0.4693 ) ,7.40 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),12,0.7131 ( 266 1.0000 0.9494 0.7166 0.4971 ) ,3.68 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),11,0.7125 ( 253 1.0000 0.9500 0.7110 0.4739 ) ,7.36 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),30,0.7260 ( 244 0.9993 0.9607 0.7082 0.5287 ) ,7.40 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),35,0.7276 ( 225 1.0000 0.9599 0.7180 0.5081 ) ,3.85 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),23,0.7204 ( 234 1.0000 0.9553 0.7121 0.4804 ) ,7.75 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),19,0.7211 ( 253 1.0000 0.9585 0.7213 0.4945 ) ,7.39 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),18,0.7143 ( 243 1.0000 0.9549 0.7286 0.4568 ) ,3.76 min
