Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6841,273,0.9996,0.9141,0.7186,0.4396,0.6588,0.0108,12.81 seg
2,0.6885,271,1.0000,0.9119,0.7007,0.4858,0.6686,0.0087,14.44 seg
3,0.6889,266,1.0000,0.9131,0.7134,0.4690,0.6726,0.0069,13.36 seg
4,0.6921,280,0.9996,0.9201,0.7131,0.4842,0.6755,0.0073,13.45 seg
5,0.7012,248,0.9997,0.9206,0.7225,0.4925,0.6784,0.0072,13.62 seg
6,0.7012,248,0.9997,0.9206,0.7225,0.4925,0.6813,0.0074,15.04 seg
7,0.7012,248,0.9997,0.9206,0.7225,0.4925,0.6857,0.0071,13.49 seg
8,0.7008,247,0.9991,0.9245,0.7224,0.4746,0.6896,0.0055,13.47 seg
9,0.7021,238,0.9975,0.9194,0.7221,0.4906,0.6915,0.0051,13.07 seg
10,0.7024,248,0.9973,0.9224,0.7155,0.5000,0.6922,0.0050,13.08 seg
11,0.7075,243,0.9975,0.9284,0.7181,0.5034,0.6935,0.0051,13.42 seg
12,0.7083,248,0.9961,0.9308,0.7205,0.5060,0.6966,0.0052,15.15 seg
13,0.7097,259,0.9926,0.9399,0.7223,0.4989,0.6991,0.0047,13.32 seg
14,0.7109,256,0.9928,0.9416,0.7180,0.4992,0.7009,0.0042,13.00 seg
15,0.7117,255,0.9928,0.9432,0.7190,0.4962,0.7039,0.0035,13.23 seg
16,0.7130,263,0.9939,0.9434,0.7188,0.5143,0.7044,0.0037,12.85 seg
17,0.7114,260,0.9911,0.9436,0.7233,0.4978,0.7047,0.0031,12.91 seg
18,0.7133,257,0.9901,0.9458,0.7214,0.5005,0.7056,0.0033,15.30 seg
19,0.7138,257,0.9903,0.9466,0.7215,0.5007,0.7071,0.0031,13.30 seg
20,0.7135,265,0.9878,0.9507,0.7208,0.4967,0.7080,0.0027,12.93 seg
21,0.7132,273,0.9867,0.9494,0.7247,0.5085,0.7061,0.0023,13.37 seg
22,0.7134,272,0.9870,0.9512,0.7244,0.5023,0.7081,0.0024,13.26 seg
23,0.7148,273,0.9870,0.9525,0.7252,0.5077,0.7103,0.0021,13.30 seg
24,0.7119,281,0.9847,0.9494,0.7233,0.5132,0.7082,0.0018,13.08 seg
25,0.7116,281,0.9842,0.9498,0.7250,0.5089,0.7067,0.0017,15.63 seg
26,0.7122,282,0.9839,0.9502,0.7255,0.5127,0.7082,0.0016,13.48 seg
27,0.7117,285,0.9831,0.9521,0.7219,0.5095,0.7088,0.0013,13.31 seg
28,0.7121,289,0.9829,0.9542,0.7224,0.5096,0.7089,0.0013,13.63 seg
29,0.7106,293,0.9819,0.9533,0.7240,0.5078,0.7088,0.0010,13.00 seg
30,0.7086,303,0.9806,0.9532,0.7227,0.5105,0.7072,0.0007,12.85 seg
31,0.7081,304,0.9801,0.9525,0.7239,0.5107,0.7069,0.0005,12.94 seg
32,0.7044,315,0.9776,0.9508,0.7218,0.5111,0.7036,0.0004,13.00 seg
33,0.7046,315,0.9776,0.9510,0.7218,0.5111,0.7040,0.0002,16.08 seg
34,0.7018,325,0.9760,0.9503,0.7213,0.5102,0.7014,0.0003,13.15 seg
35,0.6996,332,0.9751,0.9492,0.7213,0.5102,0.6996,0.0001,12.78 seg
36,0.6978,340,0.9738,0.9493,0.7204,0.5099,0.6978,0.0001,12.78 seg
37,0.6964,345,0.9725,0.9488,0.7205,0.5100,0.6964,0.0001,13.26 seg
38,0.6939,352,0.9716,0.9472,0.7200,0.5097,0.6938,0.0001,13.16 seg
39,0.6920,357,0.9706,0.9457,0.7209,0.5098,0.6920,0.0000,13.21 seg
40,0.6916,358,0.9704,0.9455,0.7211,0.5095,0.6916,0.0001,13.25 seg
41,0.6907,360,0.9701,0.9446,0.7214,0.5093,0.6907,0.0001,12.88 seg
42,0.6887,372,0.9677,0.9460,0.7205,0.5094,0.6887,0.0001,16.49 seg
43,0.6869,383,0.9656,0.9474,0.7205,0.5087,0.6869,0.0000,13.33 seg
44,0.6868,383,0.9656,0.9474,0.7207,0.5083,0.6868,0.0000,13.22 seg
45,0.6866,381,0.9653,0.9465,0.7205,0.5079,0.6866,0.0001,12.95 seg
46,0.6847,384,0.9651,0.9440,0.7200,0.5085,0.6846,0.0001,13.13 seg
47,0.6828,392,0.9630,0.9439,0.7208,0.5085,0.6828,0.0001,13.08 seg
48,0.6815,396,0.9625,0.9432,0.7211,0.5081,0.6815,0.0001,13.16 seg
49,0.6794,402,0.9615,0.9418,0.7205,0.5084,0.6794,0.0002,13.29 seg
50,0.6753,415,0.9597,0.9395,0.7201,0.5091,0.6753,0.0000,13.11 seg
