Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6921,279,1.0000,0.9237,0.7072,0.4781,0.6593,0.0108,10.48 seg
2,0.6925,263,0.9992,0.9212,0.7112,0.4652,0.6709,0.0077,10.88 seg
3,0.6951,249,0.9989,0.9213,0.7066,0.4661,0.6757,0.0083,10.97 seg
4,0.6963,249,0.9997,0.9177,0.7197,0.4781,0.6806,0.0073,11.05 seg
5,0.6999,255,0.9988,0.9292,0.7098,0.4754,0.6831,0.0065,11.13 seg
6,0.7013,248,0.9982,0.9324,0.7142,0.4610,0.6870,0.0070,10.92 seg
7,0.7065,240,0.9978,0.9353,0.7177,0.4719,0.6899,0.0063,13.43 seg
8,0.7062,255,0.9974,0.9377,0.7196,0.4809,0.6925,0.0058,10.87 seg
9,0.7098,245,0.9968,0.9375,0.7167,0.4936,0.6961,0.0052,10.76 seg
10,0.7089,241,0.9953,0.9337,0.7161,0.4975,0.6982,0.0046,10.73 seg
11,0.7121,242,0.9942,0.9399,0.7226,0.4938,0.7005,0.0046,10.95 seg
12,0.7146,247,0.9944,0.9456,0.7204,0.4983,0.7036,0.0053,10.90 seg
13,0.7165,243,0.9943,0.9470,0.7189,0.5012,0.7055,0.0042,10.91 seg
14,0.7160,251,0.9924,0.9493,0.7158,0.5037,0.7073,0.0038,10.75 seg
15,0.7165,245,0.9928,0.9457,0.7221,0.5075,0.7080,0.0039,10.59 seg
16,0.7177,254,0.9910,0.9526,0.7238,0.5032,0.7090,0.0034,11.22 seg
17,0.7190,261,0.9887,0.9569,0.7234,0.5072,0.7091,0.0034,13.23 seg
18,0.7157,268,0.9865,0.9539,0.7226,0.5085,0.7093,0.0031,10.71 seg
19,0.7180,266,0.9859,0.9567,0.7221,0.5108,0.7110,0.0028,10.74 seg
20,0.7161,274,0.9851,0.9572,0.7233,0.5073,0.7110,0.0023,10.55 seg
21,0.7170,266,0.9851,0.9551,0.7232,0.5098,0.7117,0.0019,10.71 seg
22,0.7172,272,0.9845,0.9573,0.7246,0.5109,0.7114,0.0019,10.73 seg
23,0.7170,277,0.9835,0.9608,0.7240,0.5052,0.7122,0.0016,10.43 seg
24,0.7142,292,0.9801,0.9599,0.7242,0.5127,0.7099,0.0015,10.64 seg
