Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6794,281,0.9995,0.9096,0.7128,0.4646,0.6565,0.0113,21.65 seg
2,0.6830,288,0.9997,0.9197,0.7042,0.4667,0.6685,0.0049,21.90 seg
3,0.6853,258,1.0000,0.9070,0.7088,0.4816,0.6732,0.0036,21.27 seg
4,0.6896,268,0.9989,0.9191,0.7101,0.4803,0.6761,0.0031,23.85 seg
5,0.6896,268,0.9989,0.9191,0.7101,0.4803,0.6783,0.0028,22.14 seg
6,0.6905,255,0.9988,0.9154,0.7077,0.4827,0.6803,0.0028,22.44 seg
7,0.6943,258,0.9983,0.9196,0.7133,0.4936,0.6823,0.0028,22.46 seg
8,0.6943,258,0.9983,0.9196,0.7133,0.4936,0.6841,0.0027,22.67 seg
9,0.6943,258,0.9983,0.9196,0.7133,0.4936,0.6859,0.0026,24.72 seg
10,0.6955,280,0.9933,0.9267,0.7220,0.5051,0.6874,0.0023,21.93 seg
11,0.6960,273,0.9955,0.9248,0.7211,0.5047,0.6889,0.0021,22.08 seg
12,0.6968,264,0.9962,0.9159,0.7267,0.5256,0.6905,0.0018,22.53 seg
13,0.6980,281,0.9919,0.9281,0.7194,0.5212,0.6917,0.0017,22.30 seg
14,0.6986,256,0.9933,0.9210,0.7128,0.5182,0.6927,0.0017,24.58 seg
15,0.7002,266,0.9915,0.9292,0.7207,0.5095,0.6941,0.0016,22.43 seg
16,0.7022,272,0.9909,0.9296,0.7186,0.5321,0.6953,0.0018,22.44 seg
17,0.7029,265,0.9900,0.9322,0.7179,0.5176,0.6966,0.0022,22.91 seg
18,0.7032,273,0.9904,0.9358,0.7187,0.5173,0.6986,0.0014,22.41 seg
19,0.7036,280,0.9886,0.9328,0.7217,0.5400,0.6998,0.0014,24.31 seg
20,0.7038,265,0.9890,0.9350,0.7242,0.5097,0.7009,0.0012,22.51 seg
21,0.7045,259,0.9863,0.9317,0.7278,0.5173,0.7017,0.0011,21.98 seg
22,0.7067,284,0.9844,0.9435,0.7230,0.5298,0.7019,0.0013,22.10 seg
23,0.7070,287,0.9823,0.9443,0.7182,0.5376,0.7023,0.0013,21.90 seg
24,0.7078,258,0.9858,0.9319,0.7236,0.5399,0.7027,0.0014,22.43 seg
25,0.7085,269,0.9849,0.9368,0.7245,0.5428,0.7036,0.0015,24.50 seg
26,0.7085,269,0.9849,0.9368,0.7245,0.5428,0.7049,0.0011,21.93 seg
27,0.7102,278,0.9827,0.9413,0.7230,0.5535,0.7058,0.0011,22.50 seg
28,0.7102,282,0.9842,0.9471,0.7210,0.5385,0.7063,0.0014,22.13 seg
29,0.7108,270,0.9823,0.9392,0.7248,0.5523,0.7075,0.0012,22.13 seg
30,0.7109,269,0.9828,0.9383,0.7293,0.5513,0.7085,0.0009,21.68 seg
31,0.7110,278,0.9844,0.9400,0.7254,0.5606,0.7089,0.0012,24.61 seg
32,0.7110,274,0.9826,0.9388,0.7243,0.5611,0.7091,0.0015,22.02 seg
33,0.7111,288,0.9796,0.9487,0.7233,0.5487,0.7084,0.0017,22.03 seg
34,0.7123,296,0.9772,0.9531,0.7238,0.5536,0.7082,0.0016,22.01 seg
35,0.7127,283,0.9781,0.9466,0.7255,0.5596,0.7095,0.0011,21.70 seg
36,0.7148,283,0.9779,0.9494,0.7245,0.5639,0.7096,0.0013,22.18 seg
37,0.7151,296,0.9765,0.9546,0.7268,0.5650,0.7107,0.0015,25.62 seg
38,0.7151,283,0.9782,0.9488,0.7257,0.5668,0.7123,0.0012,21.59 seg
39,0.7157,295,0.9763,0.9576,0.7231,0.5597,0.7136,0.0008,20.91 seg
40,0.7158,280,0.9776,0.9498,0.7244,0.5654,0.7142,0.0008,22.04 seg
41,0.7158,280,0.9776,0.9498,0.7244,0.5654,0.7145,0.0009,21.87 seg
42,0.7158,281,0.9788,0.9503,0.7264,0.5627,0.7142,0.0013,21.90 seg
43,0.7158,289,0.9760,0.9540,0.7243,0.5637,0.7131,0.0016,22.05 seg
44,0.7141,295,0.9755,0.9563,0.7259,0.5525,0.7120,0.0015,25.43 seg
45,0.7135,296,0.9759,0.9505,0.7252,0.5709,0.7108,0.0012,21.77 seg
46,0.7120,305,0.9711,0.9538,0.7247,0.5652,0.7105,0.0008,21.81 seg
47,0.7125,310,0.9703,0.9573,0.7242,0.5645,0.7108,0.0009,21.22 seg
48,0.7126,308,0.9701,0.9572,0.7268,0.5607,0.7113,0.0009,21.22 seg
49,0.7126,303,0.9698,0.9550,0.7249,0.5633,0.7110,0.0017,21.37 seg
50,0.7126,310,0.9692,0.9592,0.7247,0.5586,0.7100,0.0030,21.56 seg
51,0.7126,300,0.9702,0.9550,0.7241,0.5593,0.7062,0.0032,25.37 seg
52,0.7096,314,0.9660,0.9545,0.7232,0.5650,0.7044,0.0023,22.01 seg
53,0.7065,336,0.9640,0.9554,0.7254,0.5731,0.7037,0.0025,21.58 seg
54,0.7047,338,0.9642,0.9566,0.7259,0.5592,0.7006,0.0029,21.33 seg
55,0.7028,345,0.9617,0.9551,0.7271,0.5632,0.6988,0.0020,22.35 seg
56,0.7003,353,0.9623,0.9525,0.7271,0.5669,0.6977,0.0012,22.25 seg
57,0.6988,369,0.9583,0.9566,0.7265,0.5683,0.6972,0.0013,21.96 seg
58,0.6987,376,0.9591,0.9594,0.7269,0.5672,0.6953,0.0019,21.74 seg
59,0.6968,375,0.9573,0.9565,0.7266,0.5650,0.6935,0.0039,25.86 seg
60,0.6955,381,0.9560,0.9566,0.7262,0.5658,0.6913,0.0055,21.68 seg
61,0.6947,386,0.9537,0.9573,0.7268,0.5666,0.6829,0.0048,22.14 seg
62,0.6926,394,0.9548,0.9566,0.7258,0.5669,0.6825,0.0043,22.56 seg
63,0.6817,428,0.9482,0.9526,0.7255,0.5634,0.6808,0.0007,22.47 seg
64,0.6817,428,0.9482,0.9526,0.7255,0.5634,0.6808,0.0007,21.53 seg
65,0.6817,428,0.9482,0.9526,0.7255,0.5634,0.6808,0.0007,21.95 seg
66,0.6814,433,0.9492,0.9537,0.7257,0.5635,0.6798,0.0025,22.32 seg
67,0.6814,433,0.9492,0.9537,0.7257,0.5635,0.6758,0.0041,26.09 seg
68,0.6804,434,0.9468,0.9529,0.7257,0.5628,0.6739,0.0043,22.18 seg
69,0.6786,438,0.9460,0.9513,0.7260,0.5631,0.6725,0.0047,21.81 seg
70,0.6765,444,0.9452,0.9505,0.7258,0.5617,0.6724,0.0047,22.46 seg
71,0.6756,452,0.9443,0.9521,0.7260,0.5619,0.6713,0.0049,21.46 seg
72,0.6664,482,0.9353,0.9501,0.7243,0.5593,0.6652,0.0017,21.95 seg
73,0.6664,482,0.9353,0.9501,0.7243,0.5593,0.6652,0.0017,22.03 seg
74,0.6664,482,0.9353,0.9501,0.7243,0.5593,0.6652,0.0017,21.40 seg
75,0.6664,482,0.9353,0.9501,0.7243,0.5593,0.6652,0.0017,26.07 seg
76,0.6664,482,0.9353,0.9501,0.7243,0.5593,0.6652,0.0017,21.57 seg
77,0.6623,499,0.9321,0.9502,0.7245,0.5582,0.6620,0.0002,21.50 seg
78,0.6623,499,0.9321,0.9502,0.7245,0.5582,0.6620,0.0002,21.21 seg
79,0.6623,499,0.9321,0.9502,0.7245,0.5582,0.6620,0.0002,21.78 seg
80,0.6623,499,0.9321,0.9502,0.7245,0.5582,0.6620,0.0002,21.67 seg
