(Seleccion Cruce Sustitucion),Generacion,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness,Tiempo
(torneo punto reemplazo),15,254,0.9997,0.9448,0.7099,0.4812,0.7087,8.78 min
(torneo punto elitismo),28,271,0.9997,0.9480,0.7113,0.5153,0.7110,18.04 min
(torneo punto truncamiento),47,234,1.0000,0.9356,0.7089,0.4708,0.7085,18.22 min
(torneo varios_puntos reemplazo),24,242,1.0000,0.9464,0.7174,0.5064,0.7185,8.83 min
(torneo varios_puntos elitismo),31,262,0.9995,0.9507,0.7153,0.5168,0.7186,17.60 min
(torneo varios_puntos truncamiento),17,257,1.0000,0.9385,0.7186,0.4842,0.7060,17.51 min
(torneo uniforme reemplazo),49,138,0.9991,0.9545,0.7291,0.5876,0.7571,9.18 min
(torneo uniforme elitismo),50,167,0.9994,0.9686,0.7375,0.5746,0.7563,18.54 min
(torneo uniforme truncamiento),50,189,1.0000,0.9692,0.7324,0.5727,0.7515,18.23 min
(fitness punto reemplazo),37,271,1.0000,0.9246,0.7009,0.4660,0.6914,9.00 min
(fitness punto elitismo),23,277,1.0000,0.9215,0.7115,0.4818,0.6931,18.15 min
(fitness punto truncamiento),50,243,0.9997,0.9413,0.7121,0.4925,0.7112,17.87 min
(fitness varios_puntos reemplazo),30,270,1.0000,0.9211,0.7112,0.4740,0.6912,9.18 min
(fitness varios_puntos elitismo),31,273,1.0000,0.9244,0.7135,0.4646,0.6921,18.34 min
(fitness varios_puntos truncamiento),50,240,0.9997,0.9367,0.7128,0.5111,0.7137,17.94 min
(fitness uniforme reemplazo),39,270,1.0000,0.9187,0.7052,0.4696,0.6885,9.61 min
(fitness uniforme elitismo),6,275,1.0000,0.9210,0.7053,0.4625,0.6912,18.68 min
(fitness uniforme truncamiento),43,233,1.0000,0.9189,0.7198,0.4964,0.7018,19.32 min
(rango punto reemplazo),49,228,0.9997,0.9426,0.7119,0.5067,0.7157,9.17 min
(rango punto elitismo),49,233,0.9996,0.9435,0.7213,0.5201,0.7187,17.96 min
(rango punto truncamiento),45,243,0.9992,0.9488,0.7122,0.4844,0.7151,18.20 min
(rango varios_puntos reemplazo),50,226,0.9997,0.9390,0.7167,0.5153,0.7195,9.04 min
(rango varios_puntos elitismo),50,229,1.0000,0.9432,0.7160,0.5195,0.7186,18.31 min
(rango varios_puntos truncamiento),50,249,1.0000,0.9585,0.7171,0.4952,0.7207,17.79 min
(rango uniforme reemplazo),47,225,0.9995,0.9253,0.7099,0.5150,0.7102,9.62 min
(rango uniforme elitismo),48,224,1.0000,0.9230,0.7207,0.5420,0.7122,19.00 min
(rango uniforme truncamiento),46,214,0.9999,0.9268,0.7152,0.5393,0.7189,19.43 min
,,,,,,,,6.86 hr
