(Seleccion Cruce Sustitucion),Generacion,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness,Tiempo
(torneo punto reemplazo),12,238,1.0000,0.9282,0.7229,0.4918,0.7073,8.70 min
(torneo punto elitismo),37,256,1.0000,0.9481,0.7167,0.4992,0.7135,17.45 min
(torneo punto truncamiento),21,251,1.0000,0.9413,0.7067,0.4771,0.7068,17.44 min
(torneo varios_puntos reemplazo),24,253,1.0000,0.9476,0.7033,0.5091,0.7137,8.57 min
(torneo varios_puntos elitismo),24,245,1.0000,0.9548,0.7254,0.5001,0.7206,18.05 min
(torneo varios_puntos truncamiento),24,244,1.0000,0.9537,0.7170,0.4926,0.7202,17.95 min
(torneo uniforme reemplazo),49,141,0.9992,0.9625,0.7361,0.5858,0.7604,9.14 min
(torneo uniforme elitismo),50,174,0.9995,0.9722,0.7310,0.5691,0.7569,18.04 min
(torneo uniforme truncamiento),49,197,0.9997,0.9700,0.7143,0.5630,0.7484,18.56 min
(fitness punto reemplazo),3,280,1.0000,0.9139,0.7148,0.4943,0.6896,8.74 min
(fitness punto elitismo),32,271,1.0000,0.9158,0.7089,0.4885,0.6922,17.87 min
(fitness punto truncamiento),47,245,1.0000,0.9430,0.7194,0.4877,0.7134,17.87 min
(fitness varios_puntos reemplazo),46,285,0.9997,0.9295,0.7145,0.4866,0.6951,8.69 min
(fitness varios_puntos elitismo),23,285,1.0000,0.9244,0.7101,0.4923,0.6925,18.32 min
(fitness varios_puntos truncamiento),50,235,1.0000,0.9359,0.7100,0.5103,0.7135,18.01 min
(fitness uniforme reemplazo),14,273,1.0000,0.9162,0.7214,0.4659,0.6878,9.30 min
(fitness uniforme elitismo),42,271,1.0000,0.9165,0.7148,0.4782,0.6902,18.98 min
(fitness uniforme truncamiento),49,230,0.9998,0.9250,0.7214,0.5127,0.7086,18.65 min
(rango punto reemplazo),50,219,1.0000,0.9408,0.7129,0.4978,0.7176,9.11 min
(rango punto elitismo),50,241,1.0000,0.9496,0.7205,0.4981,0.7188,17.86 min
(rango punto truncamiento),36,275,0.9997,0.9521,0.7126,0.4897,0.7101,36.56 min
(rango varios_puntos reemplazo),50,211,1.0000,0.9267,0.7210,0.5174,0.7150,9.16 min
(rango varios_puntos elitismo),50,222,1.0000,0.9360,0.7113,0.5245,0.7178,17.71 min
(rango varios_puntos truncamiento),50,236,0.9997,0.9496,0.7254,0.5200,0.7217,17.41 min
(rango uniforme reemplazo),50,214,1.0000,0.9223,0.7175,0.5222,0.7127,9.46 min
(rango uniforme elitismo),41,216,1.0000,0.9266,0.7180,0.5274,0.7148,18.90 min
(rango uniforme truncamiento),50,213,1.0000,0.9251,0.7151,0.5405,0.7168,18.79 min
,,,,,,,,7.09 hr
