Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6837,293,1.0000,0.9127,0.7065,0.4832,0.6586,0.0116,22.83 seg
2,0.6853,271,1.0000,0.9089,0.7048,0.4787,0.6707,0.0049,21.80 seg
3,0.6916,275,0.9998,0.9172,0.7093,0.4923,0.6757,0.0041,22.06 seg
4,0.6939,276,1.0000,0.9226,0.7125,0.4871,0.6793,0.0036,22.16 seg
5,0.6939,276,1.0000,0.9226,0.7125,0.4871,0.6819,0.0033,24.37 seg
6,0.6941,250,0.9998,0.9129,0.7069,0.4918,0.6840,0.0032,22.26 seg
7,0.6949,259,1.0000,0.9164,0.7070,0.4965,0.6859,0.0029,22.22 seg
8,0.7014,261,1.0000,0.9239,0.7092,0.5137,0.6880,0.0028,22.41 seg
9,0.7048,231,1.0000,0.9189,0.7187,0.5066,0.6903,0.0031,22.23 seg
10,0.7084,244,0.9999,0.9344,0.7116,0.4966,0.6930,0.0033,25.00 seg
11,0.7084,244,0.9999,0.9344,0.7116,0.4966,0.6956,0.0031,22.11 seg
12,0.7100,242,0.9999,0.9359,0.7130,0.4984,0.6984,0.0030,23.01 seg
13,0.7107,226,0.9996,0.9267,0.7140,0.5134,0.7011,0.0029,22.96 seg
14,0.7126,252,0.9999,0.9416,0.7108,0.5095,0.7037,0.0026,22.26 seg
15,0.7134,243,1.0000,0.9381,0.7133,0.5135,0.7061,0.0023,24.17 seg
16,0.7149,240,0.9991,0.9420,0.7139,0.5054,0.7082,0.0019,21.55 seg
17,0.7164,229,0.9994,0.9425,0.7143,0.4979,0.7098,0.0016,22.19 seg
18,0.7177,230,0.9987,0.9450,0.7124,0.5002,0.7112,0.0017,21.62 seg
19,0.7183,232,0.9997,0.9404,0.7173,0.5201,0.7127,0.0018,21.93 seg
20,0.7197,239,0.9989,0.9519,0.7133,0.5003,0.7143,0.0015,25.49 seg
21,0.7201,239,0.9985,0.9515,0.7141,0.5042,0.7155,0.0014,22.87 seg
22,0.7224,230,0.9983,0.9502,0.7119,0.5129,0.7166,0.0012,22.16 seg
23,0.7236,241,0.9989,0.9592,0.7128,0.5028,0.7175,0.0011,21.80 seg
24,0.7236,241,0.9989,0.9592,0.7128,0.5028,0.7182,0.0011,21.45 seg
25,0.7236,241,0.9989,0.9592,0.7128,0.5028,0.7188,0.0012,22.80 seg
26,0.7246,232,0.9979,0.9556,0.7153,0.5090,0.7197,0.0012,25.42 seg
27,0.7253,231,0.9981,0.9575,0.7142,0.5058,0.7208,0.0013,22.50 seg
28,0.7274,226,0.9975,0.9576,0.7136,0.5136,0.7220,0.0012,22.05 seg
29,0.7278,231,0.9975,0.9615,0.7154,0.5073,0.7232,0.0010,22.17 seg
30,0.7278,234,0.9970,0.9613,0.7152,0.5131,0.7243,0.0010,22.18 seg
31,0.7279,229,0.9972,0.9587,0.7157,0.5157,0.7251,0.0010,21.95 seg
32,0.7281,229,0.9978,0.9599,0.7152,0.5125,0.7260,0.0007,25.23 seg
33,0.7281,229,0.9978,0.9599,0.7152,0.5125,0.7266,0.0007,21.75 seg
34,0.7292,234,0.9970,0.9636,0.7122,0.5159,0.7272,0.0005,22.01 seg
35,0.7304,228,0.9975,0.9609,0.7160,0.5219,0.7277,0.0005,22.10 seg
36,0.7311,229,0.9975,0.9640,0.7134,0.5186,0.7280,0.0007,21.94 seg
37,0.7316,232,0.9975,0.9651,0.7152,0.5208,0.7288,0.0009,21.85 seg
38,0.7321,233,0.9975,0.9670,0.7149,0.5191,0.7299,0.0008,25.85 seg
39,0.7329,233,0.9972,0.9687,0.7139,0.5188,0.7308,0.0006,21.95 seg
40,0.7343,232,0.9975,0.9707,0.7152,0.5186,0.7315,0.0006,21.99 seg
41,0.7343,232,0.9975,0.9707,0.7152,0.5186,0.7322,0.0006,21.87 seg
42,0.7346,232,0.9975,0.9714,0.7136,0.5189,0.7329,0.0005,21.60 seg
43,0.7347,231,0.9975,0.9713,0.7137,0.5186,0.7336,0.0004,21.55 seg
44,0.7347,234,0.9972,0.9724,0.7148,0.5184,0.7341,0.0003,21.35 seg
45,0.7350,231,0.9973,0.9723,0.7151,0.5160,0.7344,0.0002,25.48 seg
46,0.7351,232,0.9973,0.9724,0.7145,0.5182,0.7346,0.0002,21.84 seg
47,0.7351,232,0.9973,0.9724,0.7145,0.5182,0.7347,0.0002,21.92 seg
48,0.7352,232,0.9973,0.9722,0.7156,0.5191,0.7350,0.0001,21.45 seg
49,0.7346,235,0.9970,0.9724,0.7151,0.5190,0.7345,0.0001,21.20 seg
50,0.7346,235,0.9970,0.9724,0.7151,0.5190,0.7345,0.0001,21.66 seg
