Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6833,283,0.9997,0.9117,0.7188,0.4543,0.6597,0.0114,20.92 seg
2,0.6859,289,0.9997,0.9147,0.7122,0.4734,0.6730,0.0047,22.99 seg
3,0.6912,281,0.9991,0.9228,0.7068,0.4719,0.6782,0.0036,21.54 seg
4,0.6912,281,0.9991,0.9228,0.7068,0.4719,0.6811,0.0030,21.81 seg
5,0.6971,278,0.9963,0.9237,0.7143,0.5003,0.6834,0.0028,21.57 seg
6,0.6971,278,0.9963,0.9237,0.7143,0.5003,0.6855,0.0027,21.77 seg
7,0.6971,278,0.9963,0.9237,0.7143,0.5003,0.6874,0.0025,23.70 seg
8,0.6971,278,0.9963,0.9237,0.7143,0.5003,0.6894,0.0022,21.71 seg
9,0.6980,261,0.9956,0.9187,0.7088,0.5060,0.6910,0.0018,22.07 seg
10,0.7005,257,0.9961,0.9235,0.7126,0.4965,0.6923,0.0019,22.49 seg
11,0.7011,267,0.9942,0.9259,0.7154,0.5050,0.6936,0.0022,22.09 seg
12,0.7018,272,0.9957,0.9265,0.7162,0.5124,0.6957,0.0022,24.98 seg
13,0.7031,270,0.9930,0.9267,0.7209,0.5164,0.6982,0.0016,22.04 seg
14,0.7051,265,0.9909,0.9328,0.7195,0.5028,0.6998,0.0014,21.76 seg
15,0.7059,283,0.9899,0.9362,0.7150,0.5244,0.7011,0.0015,22.18 seg
16,0.7062,263,0.9892,0.9338,0.7173,0.5061,0.7025,0.0017,22.19 seg
17,0.7072,276,0.9887,0.9365,0.7169,0.5218,0.7041,0.0011,24.49 seg
18,0.7076,274,0.9862,0.9363,0.7244,0.5186,0.7048,0.0013,21.75 seg
19,0.7076,274,0.9862,0.9363,0.7244,0.5186,0.7053,0.0016,21.55 seg
20,0.7082,288,0.9863,0.9468,0.7221,0.5047,0.7066,0.0008,22.10 seg
21,0.7084,293,0.9831,0.9466,0.7210,0.5164,0.7065,0.0009,21.94 seg
22,0.7084,291,0.9834,0.9466,0.7211,0.5137,0.7067,0.0011,21.07 seg
23,0.7084,291,0.9834,0.9466,0.7211,0.5137,0.7061,0.0015,24.41 seg
24,0.7078,294,0.9813,0.9442,0.7237,0.5224,0.7053,0.0013,21.32 seg
25,0.7079,280,0.9826,0.9418,0.7180,0.5155,0.7052,0.0018,21.62 seg
26,0.7079,275,0.9832,0.9408,0.7181,0.5119,0.7044,0.0025,21.62 seg
27,0.7072,298,0.9774,0.9474,0.7198,0.5173,0.7034,0.0018,21.64 seg
28,0.7078,301,0.9773,0.9492,0.7173,0.5205,0.7037,0.0021,21.35 seg
29,0.7086,304,0.9783,0.9504,0.7219,0.5223,0.7065,0.0006,24.13 seg
30,0.7100,302,0.9777,0.9532,0.7190,0.5207,0.7072,0.0009,21.18 seg
31,0.7100,310,0.9768,0.9553,0.7223,0.5225,0.7082,0.0011,21.45 seg
32,0.7101,308,0.9767,0.9555,0.7201,0.5207,0.7091,0.0005,21.49 seg
33,0.7101,307,0.9767,0.9542,0.7215,0.5233,0.7087,0.0014,21.34 seg
34,0.7101,301,0.9768,0.9511,0.7220,0.5261,0.7070,0.0029,21.57 seg
35,0.7086,308,0.9750,0.9529,0.7208,0.5213,0.7033,0.0018,21.47 seg
36,0.7059,319,0.9721,0.9527,0.7202,0.5210,0.7030,0.0018,25.99 seg
37,0.7039,329,0.9703,0.9524,0.7221,0.5229,0.7012,0.0041,22.01 seg
38,0.7025,338,0.9681,0.9541,0.7184,0.5230,0.6962,0.0080,21.91 seg
39,0.7015,338,0.9666,0.9512,0.7211,0.5263,0.6903,0.0089,21.69 seg
40,0.7001,342,0.9656,0.9505,0.7222,0.5249,0.6832,0.0093,21.28 seg
41,0.6982,353,0.9632,0.9517,0.7201,0.5263,0.6830,0.0094,21.22 seg
42,0.6875,385,0.9541,0.9468,0.7195,0.5230,0.6799,0.0097,21.51 seg
43,0.6875,385,0.9541,0.9468,0.7195,0.5230,0.6799,0.0097,25.20 seg
44,0.6875,385,0.9541,0.9468,0.7195,0.5230,0.6799,0.0097,21.30 seg
45,0.6875,385,0.9541,0.9468,0.7195,0.5230,0.6799,0.0097,22.14 seg
46,0.6821,394,0.9513,0.9406,0.7189,0.5243,0.6642,0.0074,21.69 seg
