Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6841,293,1.0000,0.9192,0.7129,0.4600,0.6592,0.0113,11.67 seg
2,0.6873,273,1.0000,0.9123,0.7127,0.4791,0.6681,0.0087,11.12 seg
3,0.6905,271,1.0000,0.9161,0.7108,0.4849,0.6715,0.0088,10.73 seg
4,0.6935,269,1.0000,0.9246,0.7156,0.4677,0.6755,0.0080,10.99 seg
5,0.6981,255,1.0000,0.9206,0.7269,0.4863,0.6774,0.0079,11.09 seg
6,0.6964,255,1.0000,0.9257,0.7138,0.4645,0.6791,0.0079,11.36 seg
7,0.7026,252,1.0000,0.9290,0.7100,0.4919,0.6815,0.0082,11.11 seg
8,0.7010,240,1.0000,0.9217,0.7172,0.4863,0.6844,0.0072,11.12 seg
9,0.7050,242,1.0000,0.9279,0.7123,0.4966,0.6873,0.0069,13.18 seg
10,0.7038,228,1.0000,0.9157,0.7192,0.5088,0.6894,0.0073,10.44 seg
11,0.7066,237,1.0000,0.9243,0.7173,0.5099,0.6923,0.0069,10.88 seg
12,0.7108,240,1.0000,0.9327,0.7187,0.5105,0.6945,0.0069,10.92 seg
13,0.7142,216,1.0000,0.9267,0.7204,0.5205,0.6976,0.0067,11.14 seg
14,0.7151,229,1.0000,0.9344,0.7169,0.5187,0.7007,0.0063,10.67 seg
15,0.7155,228,1.0000,0.9346,0.7151,0.5204,0.7027,0.0060,10.82 seg
16,0.7170,228,1.0000,0.9348,0.7231,0.5242,0.7045,0.0054,10.82 seg
17,0.7195,225,1.0000,0.9396,0.7210,0.5206,0.7061,0.0055,10.33 seg
18,0.7197,219,1.0000,0.9379,0.7168,0.5222,0.7086,0.0054,10.50 seg
19,0.7207,227,1.0000,0.9370,0.7167,0.5438,0.7102,0.0051,13.78 seg
20,0.7254,218,1.0000,0.9442,0.7280,0.5287,0.7119,0.0054,10.86 seg
21,0.7269,224,1.0000,0.9452,0.7237,0.5460,0.7140,0.0050,10.86 seg
22,0.7267,221,1.0000,0.9444,0.7264,0.5417,0.7157,0.0051,10.88 seg
23,0.7290,212,1.0000,0.9474,0.7216,0.5369,0.7177,0.0046,10.69 seg
24,0.7297,208,1.0000,0.9481,0.7249,0.5307,0.7190,0.0047,10.93 seg
25,0.7309,210,1.0000,0.9501,0.7208,0.5368,0.7211,0.0044,10.88 seg
26,0.7316,205,1.0000,0.9479,0.7317,0.5356,0.7225,0.0041,10.64 seg
27,0.7350,207,1.0000,0.9558,0.7308,0.5324,0.7240,0.0044,10.71 seg
28,0.7353,207,1.0000,0.9556,0.7240,0.5398,0.7262,0.0038,11.11 seg
29,0.7371,216,1.0000,0.9600,0.7264,0.5471,0.7273,0.0040,10.64 seg
30,0.7381,204,1.0000,0.9571,0.7248,0.5487,0.7287,0.0039,14.25 seg
31,0.7388,208,1.0000,0.9587,0.7265,0.5516,0.7299,0.0041,11.19 seg
32,0.7403,206,1.0000,0.9619,0.7251,0.5481,0.7320,0.0037,10.72 seg
33,0.7423,205,1.0000,0.9619,0.7282,0.5581,0.7346,0.0032,10.75 seg
34,0.7445,198,1.0000,0.9615,0.7237,0.5676,0.7364,0.0032,11.13 seg
35,0.7452,200,1.0000,0.9656,0.7320,0.5537,0.7384,0.0029,10.84 seg
36,0.7473,198,1.0000,0.9679,0.7319,0.5570,0.7400,0.0029,10.89 seg
37,0.7476,193,1.0000,0.9663,0.7321,0.5575,0.7417,0.0024,10.80 seg
38,0.7483,195,1.0000,0.9673,0.7332,0.5610,0.7430,0.0023,10.65 seg
39,0.7492,195,1.0000,0.9700,0.7327,0.5574,0.7438,0.0024,10.63 seg
40,0.7502,197,1.0000,0.9712,0.7334,0.5621,0.7454,0.0020,10.73 seg
41,0.7501,192,1.0000,0.9695,0.7341,0.5596,0.7464,0.0018,10.86 seg
42,0.7514,195,1.0000,0.9732,0.7338,0.5595,0.7481,0.0015,10.57 seg
43,0.7524,194,1.0000,0.9743,0.7355,0.5594,0.7496,0.0011,10.82 seg
44,0.7529,193,1.0000,0.9745,0.7333,0.5618,0.7508,0.0010,15.14 seg
45,0.7533,193,1.0000,0.9759,0.7353,0.5580,0.7518,0.0007,11.01 seg
46,0.7535,193,1.0000,0.9761,0.7358,0.5587,0.7526,0.0004,10.88 seg
47,0.7535,193,1.0000,0.9761,0.7348,0.5594,0.7530,0.0003,10.94 seg
