(Seleccion Cruce Sustitucion),Generacion,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness,Tiempo
(torneo punto reemplazo),16,269,0.9998,0.9493,0.7053,0.4873,0.7097,8.95 min
(torneo punto elitismo),15,260,0.9996,0.9465,0.7072,0.4673,0.7068,17.62 min
(torneo punto truncamiento),18,253,1.0000,0.9469,0.7167,0.4889,0.7136,17.54 min
(torneo varios_puntos reemplazo),30,237,1.0000,0.9498,0.7149,0.4762,0.7153,9.11 min
(torneo varios_puntos elitismo),36,250,0.9997,0.9459,0.7214,0.4999,0.7149,17.78 min
(torneo varios_puntos truncamiento),22,245,1.0000,0.9517,0.7136,0.4946,0.7170,17.68 min
(torneo uniforme reemplazo),50,153,1.0000,0.9594,0.7291,0.6067,0.7591,9.45 min
(torneo uniforme elitismo),50,164,1.0000,0.9711,0.7314,0.5837,0.7603,18.98 min
(torneo uniforme truncamiento),50,208,1.0000,0.9746,0.7156,0.5225,0.7440,18.92 min
(fitness punto reemplazo),7,283,1.0000,0.9217,0.7065,0.4720,0.6893,9.27 min
(fitness punto elitismo),31,247,1.0000,0.9165,0.7076,0.4662,0.6912,18.62 min
(fitness punto truncamiento),49,243,0.9992,0.9395,0.7081,0.4832,0.7101,18.18 min
(fitness varios_puntos reemplazo),48,282,1.0000,0.9198,0.7094,0.4874,0.6901,8.90 min
(fitness varios_puntos elitismo),42,278,1.0000,0.9299,0.7086,0.4976,0.6967,18.43 min
(fitness varios_puntos truncamiento),49,259,0.9997,0.9388,0.7088,0.5111,0.7109,17.88 min
(fitness uniforme reemplazo),43,275,1.0000,0.9203,0.7146,0.4787,0.6904,9.58 min
(fitness uniforme elitismo),39,277,1.0000,0.9256,0.7153,0.4566,0.6913,19.28 min
(fitness uniforme truncamiento),50,218,1.0000,0.9185,0.7169,0.5322,0.7114,19.41 min
(rango punto reemplazo),50,223,0.9997,0.9314,0.7108,0.5049,0.7120,9.29 min
(rango punto elitismo),50,243,0.9986,0.9403,0.7155,0.4907,0.7097,18.36 min
(rango punto truncamiento),49,242,0.9993,0.9413,0.7161,0.4990,0.7133,18.33 min
(rango varios_puntos reemplazo),48,212,0.9995,0.9365,0.7344,0.5135,0.7215,9.35 min
(rango varios_puntos elitismo),49,219,1.0000,0.9367,0.7342,0.5252,0.7203,18.39 min
(rango varios_puntos truncamiento),50,239,1.0000,0.9475,0.7155,0.4995,0.7172,18.43 min
(rango uniforme reemplazo),49,210,1.0000,0.9248,0.7206,0.5197,0.7146,9.71 min
(rango uniforme elitismo),49,200,0.9997,0.9190,0.7085,0.5249,0.7143,19.31 min
(rango uniforme truncamiento),50,227,1.0000,0.9263,0.7177,0.5341,0.7132,19.08 min
,,,,,,,,6.93 hr
