Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6835,284,1.0000,0.9106,0.7231,0.4642,0.6596,0.0109,22.17 seg
2,0.6920,267,1.0000,0.9243,0.7119,0.4544,0.6684,0.0084,21.95 seg
3,0.6920,267,1.0000,0.9243,0.7119,0.4544,0.6716,0.0082,21.91 seg
4,0.6936,264,0.9997,0.9162,0.7123,0.4906,0.6739,0.0082,24.60 seg
5,0.6959,255,1.0000,0.9231,0.7124,0.4680,0.6773,0.0079,22.61 seg
6,0.6983,253,0.9997,0.9179,0.7143,0.4988,0.6800,0.0079,22.69 seg
7,0.6995,250,0.9997,0.9172,0.7168,0.5034,0.6817,0.0073,22.60 seg
8,0.7054,221,1.0000,0.9232,0.7123,0.4835,0.6856,0.0071,22.34 seg
9,0.7087,247,1.0000,0.9276,0.7187,0.5214,0.6891,0.0068,25.60 seg
10,0.7097,213,1.0000,0.9239,0.7164,0.4961,0.6911,0.0070,22.87 seg
11,0.7127,240,1.0000,0.9305,0.7176,0.5283,0.6952,0.0065,21.79 seg
12,0.7127,240,1.0000,0.9305,0.7176,0.5283,0.6977,0.0072,21.69 seg
13,0.7163,209,0.9997,0.9270,0.7241,0.5182,0.7017,0.0063,22.23 seg
14,0.7179,198,0.9997,0.9236,0.7269,0.5236,0.7041,0.0064,25.30 seg
15,0.7204,197,1.0000,0.9257,0.7227,0.5341,0.7069,0.0055,22.29 seg
16,0.7219,203,0.9997,0.9342,0.7265,0.5186,0.7093,0.0055,22.03 seg
17,0.7242,211,0.9991,0.9399,0.7261,0.5251,0.7119,0.0051,22.45 seg
18,0.7242,211,0.9991,0.9399,0.7261,0.5251,0.7129,0.0048,21.82 seg
19,0.7280,207,0.9991,0.9430,0.7230,0.5356,0.7148,0.0048,22.58 seg
20,0.7283,210,0.9990,0.9489,0.7232,0.5206,0.7163,0.0045,25.88 seg
21,0.7286,193,0.9993,0.9391,0.7242,0.5334,0.7186,0.0045,22.51 seg
22,0.7315,203,0.9993,0.9470,0.7258,0.5371,0.7202,0.0042,22.45 seg
23,0.7343,200,0.9989,0.9505,0.7279,0.5373,0.7226,0.0042,22.67 seg
24,0.7343,200,0.9989,0.9505,0.7279,0.5373,0.7255,0.0038,22.77 seg
25,0.7356,200,0.9990,0.9499,0.7308,0.5463,0.7284,0.0034,21.51 seg
26,0.7362,193,0.9989,0.9497,0.7283,0.5428,0.7303,0.0028,21.64 seg
27,0.7371,202,0.9982,0.9550,0.7270,0.5432,0.7313,0.0025,25.93 seg
28,0.7380,201,0.9984,0.9550,0.7245,0.5496,0.7319,0.0026,21.76 seg
29,0.7388,200,0.9985,0.9563,0.7238,0.5490,0.7336,0.0023,22.10 seg
30,0.7382,202,0.9980,0.9535,0.7269,0.5562,0.7335,0.0020,22.12 seg
31,0.7385,202,0.9981,0.9537,0.7285,0.5563,0.7345,0.0017,22.56 seg
32,0.7393,208,0.9974,0.9616,0.7247,0.5441,0.7356,0.0016,22.40 seg
33,0.7400,207,0.9974,0.9582,0.7294,0.5565,0.7362,0.0016,21.73 seg
34,0.7401,205,0.9974,0.9576,0.7263,0.5593,0.7373,0.0013,21.94 seg
35,0.7397,205,0.9974,0.9574,0.7291,0.5551,0.7367,0.0013,27.12 seg
36,0.7398,209,0.9968,0.9588,0.7271,0.5576,0.7372,0.0012,21.65 seg
37,0.7394,210,0.9966,0.9574,0.7270,0.5621,0.7370,0.0011,21.51 seg
38,0.7392,213,0.9963,0.9585,0.7275,0.5611,0.7374,0.0009,21.92 seg
39,0.7379,213,0.9960,0.9570,0.7244,0.5595,0.7363,0.0009,21.97 seg
40,0.7380,214,0.9960,0.9573,0.7236,0.5613,0.7368,0.0007,22.00 seg
41,0.7382,216,0.9958,0.9582,0.7234,0.5622,0.7369,0.0006,22.32 seg
42,0.7369,218,0.9958,0.9566,0.7247,0.5616,0.7362,0.0004,22.27 seg
43,0.7362,220,0.9955,0.9564,0.7231,0.5617,0.7358,0.0002,22.08 seg
44,0.7346,225,0.9950,0.9552,0.7245,0.5618,0.7338,0.0002,27.81 seg
45,0.7346,225,0.9950,0.9552,0.7245,0.5618,0.7346,0.0000,21.78 seg
46,0.7338,227,0.9947,0.9547,0.7248,0.5614,0.7337,0.0000,21.83 seg
47,0.7341,227,0.9947,0.9552,0.7243,0.5611,0.7338,0.0000,22.07 seg
48,0.7341,227,0.9947,0.9552,0.7243,0.5611,0.7341,0.0001,21.96 seg
49,0.7327,228,0.9947,0.9533,0.7237,0.5611,0.7327,0.0000,22.68 seg
50,0.7329,227,0.9947,0.9531,0.7241,0.5612,0.7325,0.0000,22.03 seg
51,0.7329,227,0.9947,0.9531,0.7241,0.5612,0.7329,0.0000,22.29 seg
52,0.7322,228,0.9947,0.9521,0.7256,0.5608,0.7322,0.0001,22.39 seg
53,0.7308,227,0.9947,0.9500,0.7230,0.5597,0.7308,0.0001,22.12 seg
54,0.7299,229,0.9945,0.9490,0.7227,0.5604,0.7297,0.0000,22.05 seg
55,0.7303,229,0.9945,0.9494,0.7225,0.5614,0.7299,0.0000,27.92 seg
56,0.7303,229,0.9945,0.9494,0.7225,0.5614,0.7303,0.0001,21.78 seg
57,0.7282,233,0.9943,0.9467,0.7217,0.5641,0.7282,0.0000,22.09 seg
58,0.7279,234,0.9943,0.9464,0.7217,0.5639,0.7279,0.0000,22.39 seg
59,0.7273,236,0.9940,0.9463,0.7217,0.5638,0.7273,0.0000,21.91 seg
60,0.7272,236,0.9940,0.9462,0.7214,0.5637,0.7272,0.0000,22.14 seg
61,0.7269,237,0.9940,0.9460,0.7208,0.5639,0.7269,0.0001,21.96 seg
62,0.7256,238,0.9938,0.9438,0.7221,0.5642,0.7256,0.0000,21.93 seg
63,0.7255,239,0.9938,0.9440,0.7218,0.5643,0.7255,0.0000,21.61 seg
64,0.7250,239,0.9938,0.9428,0.7226,0.5649,0.7250,0.0000,21.79 seg
65,0.7244,238,0.9938,0.9418,0.7215,0.5639,0.7244,0.0001,21.59 seg
66,0.7230,240,0.9934,0.9397,0.7229,0.5642,0.7227,0.0000,21.17 seg
67,0.7230,240,0.9934,0.9397,0.7229,0.5642,0.7230,0.0000,29.24 seg
68,0.7220,241,0.9934,0.9381,0.7231,0.5646,0.7220,0.0001,21.30 seg
69,0.7204,242,0.9934,0.9356,0.7227,0.5651,0.7204,0.0000,21.82 seg
70,0.7195,243,0.9931,0.9344,0.7223,0.5647,0.7195,0.0000,21.85 seg
71,0.7185,246,0.9930,0.9337,0.7226,0.5649,0.7185,0.0000,21.55 seg
72,0.7203,246,0.9930,0.9365,0.7234,0.5661,0.7184,0.0001,22.11 seg
73,0.7203,246,0.9930,0.9365,0.7234,0.5661,0.7203,0.0000,22.26 seg
74,0.7207,248,0.9927,0.9376,0.7243,0.5670,0.7200,0.0000,22.50 seg
75,0.7207,248,0.9927,0.9376,0.7243,0.5670,0.7207,0.0000,21.96 seg
76,0.7199,249,0.9927,0.9363,0.7256,0.5668,0.7199,0.0000,21.65 seg
77,0.7193,249,0.9927,0.9352,0.7259,0.5670,0.7193,0.0000,21.97 seg
78,0.7193,249,0.9927,0.9345,0.7278,0.5680,0.7193,0.0001,22.21 seg
79,0.7179,249,0.9927,0.9329,0.7256,0.5668,0.7179,0.0001,21.55 seg
80,0.7165,249,0.9924,0.9302,0.7258,0.5668,0.7165,0.0000,30.50 seg
81,0.7163,248,0.9924,0.9293,0.7260,0.5671,0.7163,0.0000,21.89 seg
82,0.7157,248,0.9924,0.9280,0.7260,0.5683,0.7155,0.0000,21.06 seg
83,0.7157,248,0.9924,0.9280,0.7260,0.5683,0.7157,0.0000,21.80 seg
84,0.7151,250,0.9922,0.9276,0.7263,0.5683,0.7151,0.0000,21.77 seg
85,0.7140,249,0.9922,0.9255,0.7260,0.5680,0.7140,0.0000,21.99 seg
86,0.7140,250,0.9922,0.9256,0.7265,0.5683,0.7140,0.0000,22.05 seg
87,0.7137,251,0.9922,0.9254,0.7265,0.5680,0.7137,0.0001,21.62 seg
88,0.7135,252,0.9916,0.9256,0.7264,0.5677,0.7123,0.0001,21.90 seg
89,0.7135,252,0.9916,0.9256,0.7264,0.5677,0.7135,0.0000,21.63 seg
90,0.7128,257,0.9911,0.9263,0.7260,0.5688,0.7124,0.0000,21.22 seg
91,0.7128,257,0.9911,0.9263,0.7260,0.5688,0.7128,0.0000,21.51 seg
92,0.7122,264,0.9905,0.9280,0.7263,0.5682,0.7122,0.0001,21.74 seg
93,0.7112,269,0.9899,0.9282,0.7269,0.5679,0.7106,0.0000,21.60 seg
94,0.7112,269,0.9899,0.9282,0.7269,0.5679,0.7112,0.0001,21.38 seg
95,0.7095,271,0.9897,0.9261,0.7264,0.5675,0.7095,0.0001,31.51 seg
96,0.7066,274,0.9887,0.9225,0.7259,0.5668,0.7066,0.0001,21.92 seg
97,0.7054,277,0.9887,0.9214,0.7260,0.5667,0.7054,0.0000,21.29 seg
98,0.7045,281,0.9884,0.9214,0.7254,0.5669,0.7045,0.0000,21.02 seg
99,0.7034,285,0.9882,0.9213,0.7238,0.5668,0.7034,0.0000,21.49 seg
100,0.7026,285,0.9882,0.9201,0.7231,0.5665,0.7026,0.0000,21.51 seg
