Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6810,298,0.9996,0.9111,0.6992,0.4891,0.6585,0.0106,21.44 seg
2,0.6863,280,0.9996,0.9144,0.7098,0.4799,0.6720,0.0045,23.77 seg
3,0.6895,267,0.9972,0.9154,0.7022,0.4861,0.6770,0.0036,21.39 seg
4,0.6923,263,0.9989,0.9160,0.7021,0.4955,0.6813,0.0035,21.81 seg
5,0.6958,254,0.9972,0.9196,0.7194,0.4825,0.6862,0.0031,21.23 seg
6,0.6978,258,0.9977,0.9254,0.7052,0.4894,0.6904,0.0024,22.27 seg
7,0.7021,275,0.9924,0.9396,0.6998,0.4970,0.6937,0.0023,24.49 seg
8,0.7032,276,0.9935,0.9416,0.7039,0.4955,0.6972,0.0022,21.99 seg
9,0.7041,279,0.9914,0.9430,0.7004,0.5044,0.7004,0.0014,21.61 seg
10,0.7043,273,0.9917,0.9385,0.6998,0.5138,0.7018,0.0012,21.63 seg
11,0.7043,271,0.9925,0.9381,0.7070,0.5073,0.7026,0.0013,21.00 seg
12,0.7041,281,0.9919,0.9449,0.6992,0.5007,0.7016,0.0013,23.94 seg
13,0.7028,292,0.9877,0.9431,0.7002,0.5166,0.7009,0.0012,21.85 seg
14,0.7029,290,0.9874,0.9444,0.6987,0.5103,0.6997,0.0024,21.95 seg
15,0.7016,291,0.9871,0.9431,0.7007,0.5065,0.6970,0.0021,22.11 seg
16,0.6990,324,0.9789,0.9502,0.7021,0.5149,0.6965,0.0014,22.13 seg
17,0.6992,320,0.9799,0.9513,0.6989,0.5079,0.6968,0.0018,22.07 seg
18,0.6993,321,0.9798,0.9497,0.7023,0.5137,0.6953,0.0034,24.83 seg
19,0.6973,328,0.9786,0.9491,0.7014,0.5139,0.6927,0.0039,21.41 seg
20,0.6948,339,0.9751,0.9484,0.7030,0.5165,0.6893,0.0036,21.91 seg
21,0.6913,353,0.9733,0.9483,0.7039,0.5144,0.6864,0.0075,22.26 seg
22,0.6905,357,0.9718,0.9488,0.7038,0.5137,0.6825,0.0114,21.65 seg
23,0.6817,391,0.9665,0.9468,0.7057,0.5131,0.6628,0.0083,21.74 seg
24,0.6817,391,0.9665,0.9468,0.7057,0.5131,0.6628,0.0083,24.80 seg
25,0.6817,391,0.9665,0.9468,0.7057,0.5131,0.6628,0.0083,21.49 seg
26,0.6749,413,0.9628,0.9432,0.7056,0.5146,0.6627,0.0083,21.54 seg
27,0.6749,413,0.9628,0.9432,0.7056,0.5146,0.6627,0.0083,21.64 seg
28,0.6646,449,0.9563,0.9390,0.7071,0.5159,0.6554,0.0097,21.77 seg
29,0.6646,449,0.9563,0.9390,0.7071,0.5159,0.6554,0.0097,21.79 seg
30,0.6646,449,0.9563,0.9390,0.7071,0.5159,0.6554,0.0097,24.14 seg
31,0.6597,458,0.9523,0.9348,0.7063,0.5142,0.6548,0.0107,22.16 seg
32,0.6597,458,0.9523,0.9348,0.7063,0.5142,0.6548,0.0107,21.91 seg
33,0.6564,469,0.9517,0.9339,0.7047,0.5125,0.6339,0.0222,21.72 seg
34,0.6564,469,0.9517,0.9339,0.7047,0.5125,0.6339,0.0222,21.82 seg
35,0.6495,498,0.9436,0.9341,0.7024,0.5140,0.6184,0.0132,21.61 seg
36,0.6495,498,0.9436,0.9341,0.7024,0.5140,0.6184,0.0132,21.31 seg
37,0.6495,498,0.9436,0.9341,0.7024,0.5140,0.6184,0.0132,24.59 seg
38,0.6495,498,0.9436,0.9341,0.7024,0.5140,0.6184,0.0132,22.24 seg
39,0.6401,527,0.9384,0.9289,0.7050,0.5132,0.6172,0.0110,22.48 seg
40,0.6401,527,0.9384,0.9289,0.7050,0.5132,0.6172,0.0110,21.91 seg
41,0.6401,527,0.9384,0.9289,0.7050,0.5132,0.6172,0.0110,21.80 seg
42,0.6350,546,0.9351,0.9274,0.7032,0.5153,0.6170,0.0109,22.17 seg
43,0.6350,546,0.9351,0.9274,0.7032,0.5153,0.6170,0.0109,25.34 seg
44,0.6341,553,0.9343,0.9286,0.7038,0.5149,0.6166,0.0107,22.27 seg
45,0.6263,570,0.9301,0.9219,0.7040,0.5140,0.6089,0.0030,21.30 seg
46,0.6263,570,0.9301,0.9219,0.7040,0.5140,0.6089,0.0030,21.89 seg
47,0.6263,570,0.9301,0.9219,0.7040,0.5140,0.6089,0.0030,22.13 seg
48,0.6244,577,0.9294,0.9216,0.7039,0.5132,0.6088,0.0029,21.77 seg
49,0.6110,622,0.9202,0.9164,0.7043,0.5123,0.6088,0.0027,21.81 seg
50,0.6110,622,0.9202,0.9164,0.7043,0.5123,0.6088,0.0027,24.61 seg
51,0.6110,622,0.9202,0.9164,0.7043,0.5123,0.6088,0.0027,22.12 seg
