(Poblacion Generaciones Mutacion Elemento Mutacion Teoria Mutacion Practica Torneo),(Selección Cruce Sustitucion),Mejor Generacion,Mejor Fitness,Tiempo
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),30,0.7271 ( 235 1.0000 0.9645 0.7114 0.4938 ) ,7.50 min
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),42,0.7321 ( 217 1.0000 0.9605 0.7132 0.5175 ) ,3.78 min
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),30,0.7256 ( 219 1.0000 0.9566 0.7124 0.4979 ) ,7.80 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),20,0.7179 ( 245 1.0000 0.9558 0.7044 0.4913 ) ,7.22 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),19,0.7258 ( 233 1.0000 0.9588 0.7270 0.5050 ) ,3.82 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),19,0.7174 ( 256 1.0000 0.9517 0.7194 0.4966 ) ,7.33 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),12,0.7074 ( 253 1.0000 0.9436 0.7094 0.4780 ) ,7.45 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),12,0.7077 ( 271 1.0000 0.9453 0.7131 0.4919 ) ,3.74 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),92,0.7127 ( 243 1.0000 0.9409 0.7189 0.4934 ) ,7.51 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),85,0.7226 ( 241 0.9997 0.9583 0.7197 0.5038 ) ,7.65 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),54,0.7366 ( 198 1.0000 0.9612 0.7121 0.5229 ) ,3.78 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),28,0.7258 ( 245 1.0000 0.9600 0.7217 0.5083 ) ,7.32 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),22,0.7238 ( 252 1.0000 0.9633 0.7166 0.5180 ) ,7.44 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),23,0.7231 ( 231 1.0000 0.9536 0.7249 0.5000 ) ,3.79 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),11,0.7032 ( 274 1.0000 0.9386 0.7113 0.4932 ) ,7.34 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),86,0.7041 ( 255 0.9997 0.9331 0.7115 0.4829 ) ,7.26 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),10,0.7088 ( 245 1.0000 0.9369 0.7153 0.4810 ) ,3.64 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),19,0.7095 ( 266 1.0000 0.9449 0.7142 0.4800 ) ,7.20 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),26,0.7246 ( 250 1.0000 0.9630 0.7102 0.4941 ) ,7.47 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),30,0.7286 ( 228 1.0000 0.9623 0.7203 0.4973 ) ,3.90 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),42,0.7230 ( 237 1.0000 0.9600 0.7161 0.4958 ) ,7.50 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),22,0.7220 ( 245 1.0000 0.9591 0.7168 0.4923 ) ,7.23 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),18,0.7235 ( 248 1.0000 0.9595 0.7144 0.5067 ) ,3.72 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),22,0.7160 ( 261 1.0000 0.9605 0.7146 0.4733 ) ,7.30 min
