(Seleccion Cruce Sustitucion),Generacion,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness,Tiempo
(torneo punto reemplazo),22,242,0.9992,0.9416,0.7055,0.4899,0.7108,8.89 min
(torneo punto elitismo),20,242,0.9997,0.9449,0.7236,0.4873,0.7137,18.10 min
(torneo punto truncamiento),14,245,1.0000,0.9329,0.7181,0.4871,0.7077,17.57 min
(torneo varios_puntos reemplazo),18,282,0.9996,0.9484,0.7233,0.4765,0.7076,8.83 min
(torneo varios_puntos elitismo),22,246,1.0000,0.9454,0.7191,0.4790,0.7122,18.02 min
(torneo varios_puntos truncamiento),15,257,1.0000,0.9409,0.7155,0.4940,0.7074,17.70 min
(torneo uniforme reemplazo),50,156,1.0000,0.9572,0.7369,0.5991,0.7583,9.57 min
(torneo uniforme elitismo),50,157,0.9999,0.9712,0.7377,0.5574,0.7587,18.67 min
(torneo uniforme truncamiento),50,191,0.9997,0.9731,0.7246,0.5563,0.7514,19.07 min
(fitness punto reemplazo),31,267,1.0000,0.9188,0.7269,0.4772,0.6935,8.98 min
(fitness punto elitismo),46,272,1.0000,0.9265,0.6993,0.4706,0.6933,18.23 min
(fitness punto truncamiento),48,244,0.9995,0.9447,0.7115,0.4922,0.7146,17.90 min
(fitness varios_puntos reemplazo),39,277,1.0000,0.9255,0.7151,0.4819,0.6956,9.26 min
(fitness varios_puntos elitismo),44,283,1.0000,0.9281,0.7067,0.4755,0.6940,18.43 min
(fitness varios_puntos truncamiento),49,249,1.0000,0.9354,0.7263,0.5105,0.7123,18.39 min
(fitness uniforme reemplazo),32,279,1.0000,0.9192,0.7048,0.4929,0.6908,9.37 min
(fitness uniforme elitismo),32,266,0.9993,0.9130,0.7041,0.4882,0.6904,19.24 min
(fitness uniforme truncamiento),44,236,0.9997,0.9209,0.7150,0.5126,0.7047,19.11 min
(rango punto reemplazo),49,236,1.0000,0.9432,0.7239,0.5118,0.7181,9.00 min
(rango punto elitismo),46,244,0.9991,0.9449,0.7224,0.5055,0.7165,18.01 min
(rango punto truncamiento),49,260,0.9997,0.9517,0.7253,0.4946,0.7148,18.15 min
(rango varios_puntos reemplazo),47,223,1.0000,0.9304,0.7123,0.5140,0.7117,9.36 min
(rango varios_puntos elitismo),50,232,0.9998,0.9484,0.7082,0.5161,0.7212,18.44 min
(rango varios_puntos truncamiento),49,247,0.9989,0.9532,0.7150,0.5049,0.7203,18.29 min
(rango uniforme reemplazo),46,223,1.0000,0.9277,0.7200,0.5212,0.7142,9.47 min
(rango uniforme elitismo),46,206,1.0000,0.9197,0.7191,0.5140,0.7127,18.97 min
(rango uniforme truncamiento),49,209,1.0000,0.9251,0.7208,0.5276,0.7176,19.05 min
,,,,,,,,6.90 hr
