Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6748,288,1.0000,0.8964,0.7128,0.4742,0.6604,0.0093,4.74 seg
2,0.6816,287,1.0000,0.9084,0.7040,0.4805,0.6705,0.0042,4.36 seg
3,0.6861,271,1.0000,0.9102,0.7113,0.4761,0.6757,0.0039,4.27 seg
4,0.6896,255,0.9999,0.9129,0.7070,0.4699,0.6798,0.0033,4.59 seg
5,0.6953,247,1.0000,0.9178,0.7092,0.4776,0.6835,0.0034,5.05 seg
6,0.6968,255,0.9999,0.9245,0.7011,0.4796,0.6872,0.0032,4.49 seg
7,0.6999,234,0.9999,0.9211,0.7056,0.4797,0.6905,0.0029,4.60 seg
8,0.7025,255,0.9999,0.9316,0.7070,0.4876,0.6931,0.0028,4.51 seg
9,0.7042,242,0.9999,0.9309,0.7074,0.4832,0.6969,0.0027,4.92 seg
10,0.7065,252,1.0000,0.9389,0.7030,0.4857,0.6995,0.0020,4.50 seg
11,0.7073,238,0.9999,0.9351,0.7068,0.4829,0.7015,0.0017,4.55 seg
12,0.7106,253,1.0000,0.9449,0.7052,0.4912,0.7038,0.0022,4.38 seg
13,0.7146,241,1.0000,0.9481,0.7071,0.4882,0.7070,0.0022,4.95 seg
14,0.7146,241,1.0000,0.9481,0.7071,0.4882,0.7101,0.0017,4.37 seg
15,0.7161,235,1.0000,0.9487,0.7074,0.4869,0.7124,0.0016,4.38 seg
16,0.7164,237,1.0000,0.9489,0.7081,0.4906,0.7147,0.0009,4.37 seg
17,0.7177,238,0.9997,0.9514,0.7077,0.4922,0.7158,0.0005,5.04 seg
18,0.7185,238,0.9997,0.9526,0.7056,0.4942,0.7165,0.0006,4.30 seg
19,0.7191,238,0.9995,0.9531,0.7070,0.4955,0.7173,0.0007,4.46 seg
20,0.7193,241,0.9995,0.9554,0.7090,0.4916,0.7182,0.0006,4.47 seg
21,0.7193,241,0.9995,0.9554,0.7090,0.4916,0.7189,0.0002,4.41 seg
22,0.7204,242,0.9995,0.9574,0.7063,0.4948,0.7190,0.0003,5.10 seg
23,0.7209,240,0.9995,0.9554,0.7081,0.5015,0.7192,0.0005,4.38 seg
24,0.7213,240,0.9995,0.9565,0.7059,0.5015,0.7197,0.0005,4.34 seg
25,0.7215,239,0.9995,0.9563,0.7067,0.5015,0.7205,0.0005,4.42 seg
