(Seleccion Cruce Sustitucion),Generacion,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness,Tiempo
(torneo punto reemplazo),16,263,1.0000,0.9429,0.7132,0.4968,0.7098,9.10 min
(torneo punto elitismo),19,245,0.9995,0.9409,0.7103,0.4847,0.7087,17.78 min
(torneo punto truncamiento),22,242,1.0000,0.9415,0.7229,0.4922,0.7139,17.89 min
(torneo varios_puntos reemplazo),50,249,0.9991,0.9511,0.7186,0.4772,0.7132,9.14 min
(torneo varios_puntos elitismo),26,231,0.9997,0.9460,0.7249,0.4972,0.7190,17.90 min
(torneo varios_puntos truncamiento),23,262,0.9997,0.9459,0.7104,0.4901,0.7106,18.22 min
(torneo uniforme reemplazo),50,138,0.9998,0.9547,0.7279,0.6138,0.7617,9.83 min
(torneo uniforme elitismo),50,172,1.0000,0.9623,0.7343,0.6077,0.7576,18.35 min
(torneo uniforme truncamiento),49,223,1.0000,0.9744,0.7166,0.5326,0.7419,18.05 min
(fitness punto reemplazo),49,297,1.0000,0.9230,0.7043,0.4936,0.6905,8.96 min
(fitness punto elitismo),40,268,1.0000,0.9278,0.7070,0.4678,0.6949,17.22 min
(fitness punto truncamiento),50,245,0.9997,0.9398,0.7130,0.5148,0.7121,17.41 min
(fitness varios_puntos reemplazo),29,273,1.0000,0.9183,0.7198,0.4726,0.6918,9.34 min
(fitness varios_puntos elitismo),49,265,1.0000,0.9190,0.7053,0.4856,0.6940,17.61 min
(fitness varios_puntos truncamiento),50,238,1.0000,0.9395,0.7190,0.5141,0.7157,17.49 min
(fitness uniforme reemplazo),22,269,0.9998,0.9243,0.7154,0.4575,0.6906,9.61 min
(fitness uniforme elitismo),1,281,1.0000,0.9215,0.7093,0.4809,0.6932,17.92 min
(fitness uniforme truncamiento),47,228,1.0000,0.9219,0.7147,0.5002,0.7050,18.15 min
(rango punto reemplazo),47,247,0.9993,0.9468,0.7136,0.4959,0.7140,9.10 min
(rango punto elitismo),50,249,0.9997,0.9411,0.7138,0.5110,0.7129,16.86 min
(rango punto truncamiento),44,266,0.9997,0.9471,0.7186,0.5021,0.7105,16.86 min
(rango varios_puntos reemplazo),50,234,1.0000,0.9422,0.7143,0.5095,0.7164,8.61 min
(rango varios_puntos elitismo),50,232,0.9997,0.9464,0.7171,0.5081,0.7194,16.43 min
(rango varios_puntos truncamiento),50,247,0.9997,0.9532,0.7157,0.5078,0.7192,16.14 min
(rango uniforme reemplazo),50,202,1.0000,0.9210,0.7173,0.5093,0.7117,9.06 min
(rango uniforme elitismo),37,226,1.0000,0.9265,0.7070,0.5255,0.7127,16.69 min
(rango uniforme truncamiento),46,210,1.0000,0.9292,0.7170,0.5231,0.7163,16.00 min
,,,,,,,,6.60 hr
