Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6820,284,1.0000,0.9163,0.7086,0.4594,0.6559,0.0109,20.95 seg
2,0.6868,280,1.0000,0.9145,0.7138,0.4885,0.6707,0.0053,23.10 seg
3,0.6922,267,0.9997,0.9227,0.7114,0.4776,0.6774,0.0041,21.46 seg
4,0.6971,260,1.0000,0.9232,0.7155,0.4951,0.6820,0.0037,21.73 seg
5,0.6974,268,0.9999,0.9296,0.7118,0.4884,0.6863,0.0034,21.23 seg
6,0.6992,272,0.9995,0.9290,0.7053,0.5126,0.6910,0.0029,23.66 seg
7,0.7019,261,0.9985,0.9346,0.7116,0.4904,0.6956,0.0021,20.79 seg
8,0.7041,260,0.9977,0.9407,0.7111,0.4822,0.6988,0.0017,21.14 seg
9,0.7073,265,0.9974,0.9429,0.7122,0.5022,0.7015,0.0017,20.92 seg
10,0.7096,259,0.9978,0.9467,0.7142,0.4931,0.7041,0.0014,21.25 seg
11,0.7113,258,0.9978,0.9473,0.7121,0.5026,0.7062,0.0013,23.78 seg
12,0.7128,261,0.9972,0.9548,0.7114,0.4902,0.7084,0.0014,21.50 seg
13,0.7142,260,0.9975,0.9526,0.7143,0.5041,0.7107,0.0010,21.28 seg
14,0.7149,260,0.9975,0.9548,0.7155,0.5000,0.7120,0.0008,21.41 seg
15,0.7157,256,0.9969,0.9559,0.7105,0.4991,0.7130,0.0008,21.32 seg
16,0.7170,255,0.9969,0.9572,0.7155,0.4981,0.7142,0.0009,21.23 seg
17,0.7181,253,0.9969,0.9609,0.7119,0.4915,0.7157,0.0007,24.46 seg
18,0.7187,253,0.9969,0.9607,0.7132,0.4954,0.7167,0.0006,21.36 seg
19,0.7191,253,0.9969,0.9598,0.7145,0.5000,0.7177,0.0005,21.18 seg
20,0.7191,254,0.9969,0.9610,0.7149,0.4973,0.7185,0.0004,21.65 seg
21,0.7188,252,0.9969,0.9611,0.7131,0.4931,0.7181,0.0003,21.23 seg
22,0.7184,256,0.9968,0.9611,0.7140,0.4960,0.7180,0.0003,21.49 seg
