Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6827,285,1.0000,0.9091,0.7169,0.4713,0.6605,0.0103,10.57 seg
2,0.6870,268,1.0000,0.9105,0.7009,0.4816,0.6674,0.0082,12.89 seg
3,0.6891,263,1.0000,0.9103,0.7143,0.4805,0.6708,0.0080,10.89 seg
4,0.6961,257,1.0000,0.9219,0.7096,0.4790,0.6715,0.0082,11.13 seg
5,0.6968,264,1.0000,0.9210,0.7125,0.4948,0.6747,0.0079,11.10 seg
6,0.6991,246,1.0000,0.9213,0.7116,0.4843,0.6762,0.0085,10.90 seg
7,0.6993,254,1.0000,0.9261,0.7094,0.4811,0.6791,0.0081,10.83 seg
8,0.6997,242,1.0000,0.9171,0.7035,0.5040,0.6816,0.0079,10.93 seg
9,0.7004,247,1.0000,0.9172,0.7181,0.5052,0.6830,0.0074,11.19 seg
10,0.7014,244,1.0000,0.9171,0.7081,0.5151,0.6855,0.0070,13.40 seg
11,0.7043,241,1.0000,0.9206,0.7036,0.5197,0.6871,0.0072,11.02 seg
12,0.7034,213,1.0000,0.9152,0.7084,0.4914,0.6889,0.0070,10.58 seg
13,0.7062,230,1.0000,0.9206,0.7142,0.5102,0.6908,0.0071,10.95 seg
14,0.7137,225,1.0000,0.9299,0.7114,0.5210,0.6929,0.0072,10.90 seg
15,0.7113,225,1.0000,0.9231,0.7075,0.5329,0.6952,0.0066,10.80 seg
16,0.7099,222,1.0000,0.9250,0.7067,0.5127,0.6968,0.0062,10.84 seg
17,0.7177,215,1.0000,0.9292,0.7197,0.5309,0.6982,0.0065,11.13 seg
18,0.7160,205,1.0000,0.9219,0.7125,0.5372,0.6999,0.0070,11.02 seg
19,0.7183,214,1.0000,0.9322,0.7198,0.5226,0.7024,0.0062,11.08 seg
20,0.7220,208,0.9997,0.9323,0.7155,0.5415,0.7036,0.0066,10.83 seg
21,0.7204,188,1.0000,0.9260,0.7140,0.5272,0.7055,0.0067,14.32 seg
22,0.7207,190,1.0000,0.9212,0.7124,0.5506,0.7079,0.0061,10.90 seg
23,0.7234,197,1.0000,0.9310,0.7166,0.5391,0.7093,0.0062,10.89 seg
24,0.7269,197,1.0000,0.9338,0.7201,0.5498,0.7109,0.0060,11.47 seg
25,0.7267,196,1.0000,0.9344,0.7163,0.5479,0.7126,0.0060,11.20 seg
26,0.7299,190,1.0000,0.9392,0.7248,0.5375,0.7149,0.0057,11.23 seg
27,0.7314,195,1.0000,0.9403,0.7200,0.5539,0.7166,0.0058,11.00 seg
28,0.7306,178,1.0000,0.9354,0.7186,0.5433,0.7180,0.0053,10.82 seg
29,0.7329,183,1.0000,0.9362,0.7151,0.5647,0.7193,0.0056,10.86 seg
30,0.7355,180,1.0000,0.9382,0.7249,0.5642,0.7207,0.0054,10.72 seg
31,0.7355,187,1.0000,0.9431,0.7177,0.5609,0.7227,0.0054,10.96 seg
32,0.7367,181,1.0000,0.9438,0.7207,0.5558,0.7234,0.0051,11.17 seg
33,0.7365,184,1.0000,0.9432,0.7169,0.5638,0.7254,0.0052,14.83 seg
34,0.7391,181,1.0000,0.9424,0.7222,0.5760,0.7267,0.0051,11.57 seg
35,0.7393,183,1.0000,0.9447,0.7203,0.5730,0.7280,0.0050,10.97 seg
36,0.7402,171,1.0000,0.9396,0.7229,0.5792,0.7293,0.0045,11.29 seg
37,0.7418,175,1.0000,0.9440,0.7267,0.5771,0.7306,0.0046,11.12 seg
38,0.7437,184,1.0000,0.9459,0.7207,0.5992,0.7321,0.0045,11.11 seg
39,0.7445,173,1.0000,0.9465,0.7207,0.5874,0.7342,0.0043,10.71 seg
40,0.7459,176,1.0000,0.9496,0.7195,0.5898,0.7354,0.0043,10.96 seg
41,0.7473,175,1.0000,0.9506,0.7280,0.5885,0.7370,0.0043,10.84 seg
42,0.7478,168,1.0000,0.9508,0.7275,0.5817,0.7382,0.0041,10.80 seg
43,0.7488,169,1.0000,0.9501,0.7303,0.5905,0.7401,0.0037,10.98 seg
44,0.7515,161,1.0000,0.9537,0.7217,0.5902,0.7416,0.0038,10.95 seg
45,0.7510,172,1.0000,0.9541,0.7251,0.5978,0.7425,0.0037,10.74 seg
46,0.7518,166,1.0000,0.9530,0.7315,0.5947,0.7439,0.0035,10.72 seg
47,0.7541,166,1.0000,0.9571,0.7317,0.5950,0.7451,0.0035,10.97 seg
48,0.7536,165,1.0000,0.9574,0.7225,0.5956,0.7461,0.0033,15.52 seg
49,0.7550,156,1.0000,0.9562,0.7249,0.5947,0.7474,0.0030,10.91 seg
50,0.7565,157,1.0000,0.9602,0.7257,0.5910,0.7484,0.0031,10.81 seg
