Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6824,275,1.0000,0.9053,0.7159,0.4762,0.6585,0.0111,6.04 seg
2,0.6861,256,1.0000,0.9133,0.7001,0.4546,0.6678,0.0085,6.70 seg
3,0.6933,257,0.9996,0.9197,0.7148,0.4713,0.6721,0.0083,7.67 seg
4,0.6916,237,1.0000,0.9083,0.7120,0.4748,0.6768,0.0075,6.58 seg
5,0.6925,254,0.9993,0.9182,0.7071,0.4727,0.6788,0.0068,6.44 seg
6,0.7011,242,0.9992,0.9282,0.7200,0.4681,0.6825,0.0066,6.60 seg
7,0.7018,230,0.9987,0.9281,0.7081,0.4642,0.6861,0.0062,6.77 seg
8,0.7024,243,0.9984,0.9321,0.7071,0.4729,0.6891,0.0061,6.57 seg
9,0.7032,220,0.9985,0.9246,0.7099,0.4709,0.6901,0.0059,6.68 seg
10,0.7059,247,0.9979,0.9351,0.7138,0.4863,0.6935,0.0055,6.75 seg
11,0.7067,239,0.9978,0.9332,0.7135,0.4877,0.6953,0.0059,8.33 seg
12,0.7094,239,0.9964,0.9397,0.7181,0.4798,0.6976,0.0051,6.71 seg
13,0.7118,233,0.9959,0.9350,0.7154,0.5070,0.7000,0.0048,6.61 seg
14,0.7117,248,0.9955,0.9376,0.7227,0.5132,0.7026,0.0043,6.53 seg
15,0.7141,234,0.9950,0.9422,0.7158,0.4975,0.7044,0.0045,6.26 seg
16,0.7175,227,0.9950,0.9481,0.7109,0.4917,0.7067,0.0046,6.66 seg
17,0.7192,241,0.9946,0.9548,0.7109,0.4985,0.7071,0.0042,6.67 seg
18,0.7153,240,0.9918,0.9442,0.7187,0.5065,0.7059,0.0036,6.45 seg
19,0.7153,249,0.9912,0.9467,0.7202,0.5095,0.7067,0.0036,6.41 seg
20,0.7168,247,0.9905,0.9481,0.7132,0.5164,0.7087,0.0038,6.41 seg
21,0.7176,246,0.9898,0.9487,0.7152,0.5177,0.7107,0.0030,6.49 seg
22,0.7193,242,0.9898,0.9485,0.7216,0.5195,0.7123,0.0028,8.19 seg
23,0.7212,242,0.9897,0.9542,0.7197,0.5133,0.7137,0.0027,6.68 seg
24,0.7207,247,0.9888,0.9550,0.7162,0.5167,0.7150,0.0026,6.45 seg
25,0.7226,247,0.9886,0.9579,0.7175,0.5183,0.7164,0.0024,6.63 seg
26,0.7238,244,0.9880,0.9589,0.7182,0.5181,0.7180,0.0023,6.85 seg
27,0.7214,257,0.9862,0.9590,0.7193,0.5202,0.7168,0.0019,6.30 seg
28,0.7207,258,0.9858,0.9578,0.7169,0.5235,0.7165,0.0020,6.58 seg
29,0.7195,270,0.9820,0.9608,0.7184,0.5230,0.7159,0.0018,6.60 seg
30,0.7184,276,0.9802,0.9618,0.7194,0.5215,0.7152,0.0016,6.39 seg
31,0.7185,274,0.9833,0.9607,0.7161,0.5234,0.7153,0.0015,6.32 seg
32,0.7181,276,0.9821,0.9607,0.7174,0.5231,0.7147,0.0013,6.44 seg
33,0.7162,287,0.9800,0.9609,0.7180,0.5264,0.7128,0.0014,6.42 seg
34,0.7154,289,0.9797,0.9608,0.7167,0.5251,0.7133,0.0011,6.33 seg
35,0.7139,295,0.9785,0.9607,0.7177,0.5242,0.7126,0.0006,8.92 seg
36,0.7132,301,0.9774,0.9607,0.7191,0.5279,0.7121,0.0004,6.57 seg
37,0.7115,306,0.9766,0.9593,0.7204,0.5286,0.7106,0.0004,6.58 seg
38,0.7112,311,0.9755,0.9613,0.7198,0.5274,0.7101,0.0005,6.28 seg
39,0.7109,312,0.9753,0.9613,0.7195,0.5273,0.7104,0.0003,6.36 seg
40,0.7101,315,0.9748,0.9612,0.7195,0.5271,0.7100,0.0001,6.45 seg
41,0.7086,321,0.9740,0.9610,0.7195,0.5267,0.7086,0.0000,6.52 seg
42,0.7077,325,0.9734,0.9609,0.7195,0.5267,0.7077,0.0000,6.26 seg
43,0.7062,329,0.9729,0.9599,0.7195,0.5265,0.7062,0.0000,6.55 seg
44,0.7041,338,0.9707,0.9599,0.7195,0.5270,0.7041,0.0000,6.61 seg
45,0.7030,341,0.9699,0.9592,0.7195,0.5268,0.7030,0.0000,6.54 seg
46,0.7010,348,0.9686,0.9586,0.7195,0.5269,0.7010,0.0000,6.61 seg
47,0.6983,354,0.9662,0.9564,0.7198,0.5262,0.6983,0.0000,6.41 seg
48,0.6965,362,0.9642,0.9565,0.7198,0.5268,0.6965,0.0000,6.48 seg
49,0.6925,373,0.9626,0.9539,0.7198,0.5267,0.6925,0.0000,6.20 seg
50,0.6880,386,0.9606,0.9511,0.7198,0.5262,0.6880,0.0000,6.45 seg
51,0.6850,393,0.9590,0.9489,0.7198,0.5258,0.6850,0.0000,6.21 seg
52,0.6851,395,0.9587,0.9499,0.7198,0.5254,0.6851,0.0000,6.48 seg
53,0.6846,397,0.9585,0.9499,0.7198,0.5255,0.6846,0.0000,9.64 seg
54,0.6825,409,0.9564,0.9508,0.7198,0.5262,0.6825,0.0000,6.59 seg
55,0.6803,419,0.9548,0.9511,0.7198,0.5257,0.6803,0.0000,6.42 seg
56,0.6791,422,0.9543,0.9503,0.7198,0.5257,0.6791,0.0000,6.56 seg
57,0.6777,428,0.9534,0.9502,0.7198,0.5256,0.6777,0.0000,6.81 seg
58,0.6747,440,0.9518,0.9497,0.7198,0.5254,0.6747,0.0000,6.47 seg
59,0.6735,445,0.9513,0.9497,0.7198,0.5252,0.6735,0.0000,6.51 seg
60,0.6729,450,0.9500,0.9506,0.7198,0.5259,0.6729,0.0000,6.47 seg
61,0.6721,452,0.9493,0.9502,0.7198,0.5252,0.6721,0.0000,6.08 seg
62,0.6693,468,0.9464,0.9516,0.7198,0.5256,0.6693,0.0000,6.60 seg
63,0.6686,470,0.9459,0.9513,0.7198,0.5256,0.6686,0.0000,6.40 seg
64,0.6681,473,0.9455,0.9516,0.7198,0.5255,0.6681,0.0000,6.40 seg
65,0.6680,474,0.9459,0.9519,0.7198,0.5249,0.6680,0.0000,6.36 seg
66,0.6659,481,0.9449,0.9509,0.7198,0.5250,0.6659,0.0000,6.22 seg
67,0.6652,483,0.9444,0.9505,0.7198,0.5249,0.6652,0.0000,6.38 seg
68,0.6626,489,0.9441,0.9482,0.7195,0.5250,0.6626,0.0000,6.51 seg
69,0.6604,499,0.9422,0.9485,0.7195,0.5248,0.6604,0.0000,6.68 seg
70,0.6580,505,0.9412,0.9469,0.7195,0.5243,0.6580,0.0000,6.34 seg
71,0.6587,505,0.9406,0.9481,0.7195,0.5245,0.6587,0.0000,6.54 seg
72,0.6555,516,0.9386,0.9469,0.7195,0.5243,0.6555,0.0000,6.55 seg
73,0.6541,519,0.9379,0.9456,0.7195,0.5244,0.6541,0.0000,6.51 seg
74,0.6531,522,0.9371,0.9450,0.7195,0.5246,0.6531,0.0000,6.61 seg
75,0.6521,525,0.9364,0.9447,0.7195,0.5245,0.6521,0.0000,6.55 seg
76,0.6496,532,0.9344,0.9430,0.7195,0.5250,0.6496,0.0000,10.48 seg
77,0.6483,537,0.9334,0.9430,0.7190,0.5242,0.6483,0.0000,6.50 seg
78,0.6450,551,0.9316,0.9427,0.7190,0.5243,0.6450,0.0000,6.57 seg
79,0.6459,550,0.9302,0.9443,0.7190,0.5242,0.6459,0.0000,6.26 seg
80,0.6435,559,0.9289,0.9438,0.7190,0.5241,0.6435,0.0000,6.34 seg
81,0.6434,560,0.9284,0.9440,0.7190,0.5238,0.6434,0.0000,6.49 seg
82,0.6419,565,0.9276,0.9435,0.7190,0.5233,0.6419,0.0000,6.59 seg
83,0.6410,566,0.9272,0.9424,0.7190,0.5230,0.6410,0.0000,6.52 seg
84,0.6388,573,0.9261,0.9415,0.7190,0.5225,0.6388,0.0000,6.56 seg
85,0.6385,577,0.9251,0.9426,0.7190,0.5224,0.6385,0.0000,6.24 seg
86,0.6379,584,0.9238,0.9445,0.7190,0.5225,0.6379,0.0000,6.50 seg
87,0.6348,591,0.9223,0.9418,0.7190,0.5228,0.6348,0.0000,6.61 seg
88,0.6334,596,0.9216,0.9415,0.7190,0.5224,0.6334,0.0000,6.61 seg
89,0.6336,595,0.9211,0.9415,0.7190,0.5221,0.6336,0.0000,6.33 seg
90,0.6330,597,0.9208,0.9414,0.7190,0.5220,0.6330,0.0000,6.50 seg
91,0.6298,607,0.9188,0.9400,0.7190,0.5214,0.6298,0.0000,6.52 seg
92,0.6293,608,0.9187,0.9395,0.7190,0.5213,0.6293,0.0000,6.73 seg
93,0.6294,608,0.9181,0.9397,0.7190,0.5214,0.6294,0.0000,6.36 seg
94,0.6279,613,0.9161,0.9391,0.7190,0.5221,0.6279,0.0000,6.72 seg
95,0.6261,616,0.9145,0.9372,0.7190,0.5225,0.6261,0.0000,6.47 seg
96,0.6247,620,0.9123,0.9366,0.7190,0.5220,0.6247,0.0000,6.49 seg
97,0.6241,622,0.9128,0.9365,0.7190,0.5215,0.6241,0.0000,6.42 seg
98,0.6234,626,0.9118,0.9368,0.7190,0.5221,0.6234,0.0000,6.44 seg
99,0.6225,628,0.9110,0.9360,0.7190,0.5222,0.6225,0.0000,6.33 seg
100,0.6217,632,0.9105,0.9363,0.7190,0.5221,0.6217,0.0000,6.68 seg
