Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6812,280,1.0000,0.9048,0.7188,0.4799,0.6572,0.0106,10.24 seg
2,0.6845,289,1.0000,0.9152,0.7000,0.4897,0.6650,0.0087,10.74 seg
3,0.6883,258,1.0000,0.9102,0.7263,0.4714,0.6677,0.0083,10.93 seg
4,0.6906,270,1.0000,0.9162,0.7225,0.4838,0.6706,0.0077,10.68 seg
5,0.6910,247,1.0000,0.9097,0.7132,0.4836,0.6728,0.0079,10.93 seg
6,0.6956,254,1.0000,0.9254,0.7131,0.4671,0.6747,0.0079,11.05 seg
7,0.6960,261,1.0000,0.9199,0.7144,0.4990,0.6770,0.0079,13.58 seg
8,0.6971,253,1.0000,0.9182,0.7199,0.4979,0.6782,0.0081,11.02 seg
9,0.7002,249,1.0000,0.9223,0.7181,0.4989,0.6799,0.0080,10.84 seg
10,0.7016,224,1.0000,0.9223,0.7160,0.4733,0.6823,0.0078,11.17 seg
11,0.7042,234,1.0000,0.9204,0.7153,0.5123,0.6847,0.0075,11.19 seg
12,0.7048,229,1.0000,0.9228,0.7148,0.5007,0.6874,0.0070,10.91 seg
13,0.7081,217,1.0000,0.9188,0.7210,0.5158,0.6887,0.0072,11.24 seg
14,0.7098,218,1.0000,0.9234,0.7232,0.5103,0.6907,0.0078,10.94 seg
15,0.7090,216,1.0000,0.9206,0.7093,0.5219,0.6932,0.0069,11.20 seg
16,0.7121,220,1.0000,0.9256,0.7292,0.5169,0.6948,0.0069,11.32 seg
17,0.7120,208,1.0000,0.9245,0.7176,0.5107,0.6969,0.0071,13.65 seg
18,0.7170,210,0.9997,0.9285,0.7159,0.5336,0.6997,0.0068,10.88 seg
19,0.7180,213,0.9997,0.9315,0.7161,0.5333,0.7021,0.0064,11.09 seg
20,0.7191,211,0.9997,0.9328,0.7211,0.5298,0.7040,0.0068,11.02 seg
21,0.7248,207,0.9997,0.9442,0.7187,0.5218,0.7060,0.0064,11.09 seg
22,0.7240,203,0.9997,0.9369,0.7242,0.5334,0.7089,0.0061,11.06 seg
23,0.7262,197,1.0000,0.9368,0.7261,0.5389,0.7117,0.0056,11.10 seg
24,0.7265,201,0.9997,0.9385,0.7279,0.5391,0.7146,0.0053,11.08 seg
25,0.7311,186,0.9997,0.9418,0.7181,0.5426,0.7162,0.0050,11.00 seg
26,0.7310,184,0.9997,0.9387,0.7235,0.5470,0.7186,0.0046,10.77 seg
27,0.7325,182,0.9997,0.9430,0.7299,0.5340,0.7201,0.0050,11.00 seg
28,0.7309,190,0.9997,0.9441,0.7326,0.5292,0.7218,0.0045,14.24 seg
29,0.7337,192,0.9997,0.9474,0.7265,0.5427,0.7230,0.0049,11.17 seg
30,0.7358,171,0.9997,0.9404,0.7257,0.5525,0.7247,0.0043,10.82 seg
31,0.7358,179,1.0000,0.9447,0.7259,0.5476,0.7266,0.0045,10.82 seg
