(Seleccion Cruce Sustitucion),Generacion,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness,Tiempo
(torneo punto reemplazo),20,271,1.0000,0.9434,0.7176,0.4869,0.7070,8.76 min
(torneo punto elitismo),21,272,1.0000,0.9390,0.7062,0.4951,0.7015,17.55 min
(torneo punto truncamiento),30,251,1.0000,0.9390,0.7226,0.4821,0.7096,17.76 min
(torneo varios_puntos reemplazo),22,241,0.9984,0.9377,0.7102,0.5201,0.7128,8.86 min
(torneo varios_puntos elitismo),32,265,0.9997,0.9415,0.7158,0.4862,0.7055,17.75 min
(torneo varios_puntos truncamiento),30,256,0.9994,0.9484,0.7168,0.4933,0.7128,17.81 min
(torneo uniforme reemplazo),50,143,1.0000,0.9597,0.7298,0.5686,0.7560,9.52 min
(torneo uniforme elitismo),50,174,0.9993,0.9746,0.7329,0.5643,0.7571,18.98 min
(torneo uniforme truncamiento),50,192,0.9997,0.9718,0.7202,0.5799,0.7540,18.92 min
(fitness punto reemplazo),34,280,1.0000,0.9143,0.7164,0.4899,0.6888,9.27 min
(fitness punto elitismo),36,261,1.0000,0.9255,0.7189,0.4589,0.6960,18.46 min
(fitness punto truncamiento),50,241,0.9997,0.9421,0.7162,0.4966,0.7133,18.46 min
(fitness varios_puntos reemplazo),41,273,1.0000,0.9183,0.7087,0.4777,0.6881,9.30 min
(fitness varios_puntos elitismo),49,262,1.0000,0.9288,0.7076,0.4777,0.6976,18.75 min
(fitness varios_puntos truncamiento),49,236,1.0000,0.9432,0.7046,0.4915,0.7126,17.91 min
(fitness uniforme reemplazo),25,275,1.0000,0.9196,0.7131,0.4722,0.6923,9.48 min
(fitness uniforme elitismo),11,259,1.0000,0.9163,0.7126,0.4959,0.6958,18.95 min
(fitness uniforme truncamiento),49,230,1.0000,0.9214,0.7080,0.5126,0.7051,19.12 min
(rango punto reemplazo),50,228,0.9993,0.9440,0.7047,0.5088,0.7188,9.09 min
(rango punto elitismo),50,234,1.0000,0.9448,0.7172,0.4910,0.7153,18.38 min
(rango punto truncamiento),49,251,0.9997,0.9482,0.7161,0.5200,0.7171,18.25 min
(rango varios_puntos reemplazo),50,252,0.9994,0.9406,0.7178,0.5342,0.7160,9.18 min
(rango varios_puntos elitismo),49,240,0.9997,0.9315,0.7189,0.5154,0.7110,18.73 min
(rango varios_puntos truncamiento),50,226,0.9986,0.9492,0.7215,0.4989,0.7206,18.46 min
(rango uniforme reemplazo),46,207,1.0000,0.9159,0.7276,0.5289,0.7131,9.75 min
(rango uniforme elitismo),49,193,1.0000,0.9218,0.7125,0.5019,0.7123,19.36 min
(rango uniforme truncamiento),45,206,1.0000,0.9260,0.7170,0.5073,0.7147,19.24 min
,,,,,,,,6.93 hr
