Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6865,268,0.9995,0.9089,0.7170,0.4663,0.6606,0.0108,20.40 seg
2,0.6899,273,0.9982,0.9154,0.7128,0.4755,0.6731,0.0049,21.68 seg
3,0.6899,273,0.9982,0.9154,0.7128,0.4755,0.6785,0.0038,24.35 seg
4,0.6926,266,0.9995,0.9195,0.7075,0.4719,0.6822,0.0032,21.95 seg
5,0.6941,287,0.9962,0.9292,0.7100,0.4752,0.6849,0.0027,21.42 seg
6,0.6962,253,0.9980,0.9168,0.7204,0.4806,0.6872,0.0025,21.83 seg
7,0.6974,251,0.9962,0.9212,0.7186,0.4721,0.6899,0.0024,21.62 seg
8,0.6974,251,0.9962,0.9212,0.7186,0.4721,0.6928,0.0020,24.22 seg
9,0.6975,270,0.9953,0.9199,0.7210,0.5023,0.6951,0.0011,21.37 seg
10,0.6975,274,0.9939,0.9281,0.7157,0.4822,0.6955,0.0013,20.90 seg
11,0.6977,282,0.9914,0.9301,0.7185,0.4870,0.6949,0.0014,21.08 seg
12,0.6985,304,0.9886,0.9418,0.7134,0.4846,0.6948,0.0013,21.68 seg
13,0.6985,298,0.9884,0.9370,0.7194,0.4901,0.6960,0.0012,24.27 seg
14,0.6991,299,0.9876,0.9399,0.7186,0.4866,0.6970,0.0009,21.78 seg
15,0.6998,305,0.9854,0.9439,0.7187,0.4860,0.6974,0.0010,21.86 seg
16,0.7020,307,0.9854,0.9495,0.7194,0.4826,0.6979,0.0012,21.47 seg
17,0.7021,305,0.9863,0.9453,0.7156,0.4978,0.6991,0.0011,21.30 seg
18,0.7022,303,0.9861,0.9478,0.7158,0.4865,0.7002,0.0011,21.77 seg
19,0.7022,303,0.9861,0.9478,0.7158,0.4865,0.6998,0.0022,24.25 seg
20,0.7010,308,0.9863,0.9463,0.7185,0.4884,0.6978,0.0026,21.00 seg
21,0.6997,323,0.9840,0.9503,0.7145,0.4902,0.6956,0.0020,21.15 seg
22,0.6973,334,0.9805,0.9478,0.7151,0.5001,0.6951,0.0012,20.70 seg
23,0.6983,336,0.9810,0.9522,0.7127,0.4945,0.6952,0.0013,21.00 seg
24,0.6986,335,0.9807,0.9518,0.7145,0.4956,0.6967,0.0009,20.78 seg
25,0.6986,337,0.9803,0.9527,0.7155,0.4949,0.6970,0.0014,24.16 seg
26,0.6985,336,0.9808,0.9517,0.7133,0.4975,0.6950,0.0011,21.65 seg
27,0.6961,346,0.9781,0.9513,0.7137,0.4979,0.6942,0.0035,21.75 seg
28,0.6952,349,0.9782,0.9496,0.7140,0.5027,0.6911,0.0051,21.66 seg
29,0.6944,357,0.9768,0.9518,0.7145,0.5003,0.6863,0.0065,20.94 seg
30,0.6921,356,0.9771,0.9478,0.7133,0.4994,0.6836,0.0082,21.51 seg
31,0.6904,371,0.9751,0.9511,0.7129,0.4981,0.6834,0.0086,24.50 seg
32,0.6894,373,0.9732,0.9505,0.7134,0.4973,0.6757,0.0132,21.18 seg
33,0.6822,397,0.9677,0.9458,0.7163,0.5005,0.6722,0.0116,21.40 seg
34,0.6822,397,0.9677,0.9458,0.7163,0.5005,0.6722,0.0116,21.67 seg
35,0.6822,397,0.9677,0.9458,0.7163,0.5005,0.6722,0.0116,21.50 seg
36,0.6785,405,0.9653,0.9428,0.7174,0.4987,0.6648,0.0100,20.95 seg
37,0.6785,405,0.9653,0.9428,0.7174,0.4987,0.6648,0.0100,21.39 seg
38,0.6768,412,0.9644,0.9429,0.7179,0.4970,0.6647,0.0100,24.95 seg
39,0.6758,416,0.9638,0.9428,0.7186,0.4962,0.6644,0.0101,21.74 seg
40,0.6683,448,0.9574,0.9415,0.7211,0.4970,0.6560,0.0092,21.61 seg
41,0.6683,448,0.9574,0.9415,0.7211,0.4970,0.6560,0.0092,21.13 seg
42,0.6683,448,0.9574,0.9415,0.7211,0.4970,0.6560,0.0092,21.50 seg
43,0.6620,464,0.9549,0.9372,0.7198,0.4960,0.6540,0.0084,21.07 seg
44,0.6620,464,0.9549,0.9372,0.7198,0.4960,0.6540,0.0084,21.57 seg
45,0.6620,464,0.9549,0.9372,0.7198,0.4960,0.6540,0.0084,24.65 seg
46,0.6609,471,0.9539,0.9379,0.7204,0.4956,0.6499,0.0067,21.32 seg
47,0.6494,505,0.9480,0.9316,0.7183,0.4937,0.6472,0.0045,21.57 seg
