(Poblacion Generaciones Mutacion Elemento Mutacion Teoria Mutacion Practica Torneo),(Selección Cruce Sustitucion),Mejor Generacion(μ),Mejor Fitness(μ),Fitness(σ),Tiempo(μ)
100-80-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),27,0.7222 (246 0.9998 0.9599 0.7155 0.5039),0.0051,5.98 min
100-80-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),33,0.7275 (235 1.0000 0.9610 0.7106 0.5118),0.0045,3.12 min
100-80-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),26,0.7241 (238 1.0000 0.9586 0.7141 0.4976),0.0033,6.04 min
100-80-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),21,0.7134 (258 0.9999 0.9508 0.7155 0.4897),0.0029,5.91 min
100-80-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),24,0.7212 (242 1.0000 0.9564 0.7149 0.4986),0.0024,3.07 min
100-80-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),18,0.7130 (258 1.0000 0.9516 0.7123 0.4835),0.0035,5.87 min
100-80-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),17,0.7097 (255 0.9999 0.9433 0.7149 0.4884),0.0022,5.96 min
100-80-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),22,0.7071 (255 1.0000 0.9411 0.7119 0.4813),0.0028,2.98 min
100-80-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),17,0.7099 (261 0.9999 0.9468 0.7102 0.4851),0.0044,5.88 min
100-80-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),32,0.7237 (243 0.9993 0.9591 0.7177 0.5006),0.0039,5.92 min
100-80-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),34,0.7263 (233 0.9994 0.9589 0.7180 0.5079),0.0031,3.07 min
100-80-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),24,0.7181 (243 0.9993 0.9535 0.7166 0.4911),0.0029,5.98 min
100-80-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),16,0.7165 (258 0.9996 0.9554 0.7124 0.4905),0.0029,5.97 min
100-80-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),20,0.7215 (242 0.9995 0.9568 0.7134 0.4980),0.0067,3.01 min
100-80-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),18,0.7157 (256 0.9994 0.9529 0.7126 0.4961),0.0033,5.95 min
100-80-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),11,0.7104 (259 0.9995 0.9456 0.7124 0.4855),0.0044,5.85 min
100-80-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),16,0.7103 (260 0.9994 0.9464 0.7095 0.4915),0.0033,2.99 min
100-80-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),13,0.7107 (261 0.9997 0.9451 0.7156 0.4880),0.0042,5.91 min
100-80-9e-05-0.005-0.005-10,(torneo uniforme elitismo),27,0.7233 (241 0.9995 0.9592 0.7201 0.4999),0.0046,6.04 min
100-80-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),34,0.7281 (227 0.9995 0.9622 0.7134 0.5041),0.0034,3.04 min
100-80-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),25,0.7175 (252 0.9996 0.9559 0.7118 0.4949),0.0021,5.96 min
100-80-9e-05-0.005-0.005-20,(torneo uniforme elitismo),20,0.7129 (257 0.9994 0.9514 0.7145 0.4864),0.0049,5.99 min
100-80-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),19,0.7169 (252 0.9997 0.9511 0.7173 0.4898),0.0043,3.02 min
100-80-9e-05-0.005-0.005-20,(torneo uniforme truncamiento),18,0.7139 (260 0.9994 0.9525 0.7100 0.4892),0.0030,5.90 min
100-80-9e-05-0.005-0.005-50,(torneo uniforme elitismo),10,0.7063 (258 0.9999 0.9394 0.7156 0.4787),0.0123,5.84 min
100-80-9e-05-0.005-0.005-50,(torneo uniforme reemplazo),13,0.7108 (242 0.9998 0.9424 0.7128 0.4843),0.0039,2.96 min
100-80-9e-05-0.005-0.005-50,(torneo uniforme truncamiento),18,0.7070 (261 0.9998 0.9416 0.7106 0.4822),0.0037,5.83 min
100-80-9e-05-0.005-0.05-10,(torneo uniforme elitismo),27,0.7226 (241 0.9994 0.9571 0.7183 0.5007),0.0032,5.98 min
100-80-9e-05-0.005-0.05-10,(torneo uniforme reemplazo),33,0.7285 (234 0.9989 0.9606 0.7161 0.5173),0.0029,3.10 min
100-80-9e-05-0.005-0.05-10,(torneo uniforme truncamiento),25,0.7234 (241 0.9997 0.9566 0.7148 0.5042),0.0027,6.04 min
100-80-9e-05-0.005-0.05-20,(torneo uniforme elitismo),21,0.7171 (253 0.9998 0.9524 0.7187 0.4938),0.0040,5.97 min
100-80-9e-05-0.005-0.05-20,(torneo uniforme reemplazo),18,0.7152 (256 0.9996 0.9525 0.7148 0.4903),0.0043,2.98 min
100-80-9e-05-0.005-0.05-20,(torneo uniforme truncamiento),21,0.7169 (256 0.9996 0.9550 0.7096 0.4942),0.0062,6.02 min
100-80-9e-05-0.005-0.05-50,(torneo uniforme elitismo),13,0.7062 (261 0.9997 0.9430 0.7100 0.4774),0.0071,5.84 min
100-80-9e-05-0.005-0.05-50,(torneo uniforme reemplazo),13,0.7098 (257 0.9997 0.9451 0.7135 0.4851),0.0056,2.98 min
100-80-9e-05-0.005-0.05-50,(torneo uniforme truncamiento),11,0.7047 (269 0.9999 0.9421 0.7128 0.4813),0.0022,5.87 min
100-80-9e-05-0.05-0.0005-10,(torneo uniforme elitismo),21,0.7117 (259 0.9958 0.9501 0.7142 0.4830),0.0031,5.96 min
100-80-9e-05-0.05-0.0005-10,(torneo uniforme reemplazo),27,0.7225 (250 0.9961 0.9603 0.7150 0.5078),0.0042,3.05 min
100-80-9e-05-0.05-0.0005-10,(torneo uniforme truncamiento),21,0.7122 (277 0.9950 0.9521 0.7134 0.5004),0.0045,5.91 min
100-80-9e-05-0.05-0.0005-20,(torneo uniforme elitismo),14,0.7075 (274 0.9961 0.9493 0.7127 0.4815),0.0080,5.89 min
100-80-9e-05-0.05-0.0005-20,(torneo uniforme reemplazo),17,0.7144 (251 0.9965 0.9514 0.7099 0.4872),0.0036,2.97 min
100-80-9e-05-0.05-0.0005-20,(torneo uniforme truncamiento),16,0.7124 (263 0.9953 0.9500 0.7139 0.4933),0.0034,5.98 min
100-80-9e-05-0.05-0.0005-50,(torneo uniforme elitismo),10,0.7041 (273 0.9979 0.9434 0.7089 0.4810),0.0050,5.89 min
100-80-9e-05-0.05-0.0005-50,(torneo uniforme reemplazo),10,0.7045 (276 0.9979 0.9430 0.7126 0.4820),0.0032,2.95 min
100-80-9e-05-0.05-0.0005-50,(torneo uniforme truncamiento),10,0.7068 (262 0.9984 0.9424 0.7077 0.4869),0.0021,5.90 min
100-80-9e-05-0.05-0.005-10,(torneo uniforme elitismo),24,0.7181 (259 0.9963 0.9579 0.7146 0.5038),0.0082,5.95 min
100-80-9e-05-0.05-0.005-10,(torneo uniforme reemplazo),26,0.7175 (263 0.9942 0.9577 0.7188 0.4977),0.0051,3.03 min
100-80-9e-05-0.05-0.005-10,(torneo uniforme truncamiento),23,0.7118 (270 0.9940 0.9510 0.7225 0.4937),0.0040,5.98 min
100-80-9e-05-0.05-0.005-20,(torneo uniforme elitismo),13,0.7086 (273 0.9964 0.9501 0.7145 0.4835),0.0034,5.94 min
100-80-9e-05-0.05-0.005-20,(torneo uniforme reemplazo),16,0.7129 (263 0.9970 0.9512 0.7151 0.4937),0.0040,3.01 min
100-80-9e-05-0.05-0.005-20,(torneo uniforme truncamiento),16,0.7123 (263 0.9969 0.9522 0.7104 0.4894),0.0025,5.97 min
100-80-9e-05-0.05-0.005-50,(torneo uniforme elitismo),9,0.7056 (264 0.9982 0.9419 0.7099 0.4828),0.0026,5.86 min
100-80-9e-05-0.05-0.005-50,(torneo uniforme reemplazo),10,0.7046 (267 0.9969 0.9414 0.7118 0.4848),0.0061,2.97 min
100-80-9e-05-0.05-0.005-50,(torneo uniforme truncamiento),11,0.7067 (273 0.9976 0.9439 0.7174 0.4911),0.0045,5.85 min
100-80-9e-05-0.05-0.05-10,(torneo uniforme elitismo),23,0.7128 (273 0.9944 0.9540 0.7157 0.4929),0.0054,5.94 min
100-80-9e-05-0.05-0.05-10,(torneo uniforme reemplazo),25,0.7172 (253 0.9955 0.9522 0.7190 0.5025),0.0050,3.03 min
100-80-9e-05-0.05-0.05-10,(torneo uniforme truncamiento),24,0.7153 (268 0.9955 0.9567 0.7139 0.4960),0.0033,5.95 min
100-80-9e-05-0.05-0.05-20,(torneo uniforme elitismo),16,0.7119 (259 0.9967 0.9482 0.7148 0.4933),0.0046,6.07 min
100-80-9e-05-0.05-0.05-20,(torneo uniforme reemplazo),18,0.7149 (264 0.9970 0.9525 0.7118 0.5043),0.0034,2.98 min
100-80-9e-05-0.05-0.05-20,(torneo uniforme truncamiento),15,0.7093 (266 0.9974 0.9472 0.7126 0.4850),0.0057,5.91 min
100-80-9e-05-0.05-0.05-50,(torneo uniforme elitismo),12,0.7090 (258 0.9979 0.9441 0.7144 0.4850),0.0043,5.87 min
100-80-9e-05-0.05-0.05-50,(torneo uniforme reemplazo),10,0.7042 (276 0.9981 0.9410 0.7132 0.4837),0.0023,2.99 min
100-80-9e-05-0.05-0.05-50,(torneo uniforme truncamiento),9,0.7041 (267 0.9974 0.9398 0.7116 0.4793),0.0043,5.80 min
300-100-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),52,0.7506 (188 0.9998 0.9721 0.7254 0.5518),0.0054,22.30 min
300-100-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),68,0.7593 (171 0.9998 0.9744 0.7320 0.5764),0.0029,11.19 min
300-100-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),46,0.7407 (209 0.9999 0.9726 0.7219 0.5198),0.0080,22.13 min
300-100-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),34,0.7365 (217 0.9998 0.9665 0.7175 0.5219),0.0019,22.27 min
300-100-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),38,0.7379 (221 0.9999 0.9696 0.7209 0.5250),0.0058,11.11 min
300-100-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),28,0.7330 (227 0.9999 0.9654 0.7203 0.5121),0.0033,22.15 min
300-100-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),37,0.7257 (236 0.9998 0.9610 0.7135 0.4999),0.0028,22.30 min
300-100-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),32,0.7188 (250 0.9998 0.9572 0.7175 0.4951),0.0029,11.05 min
300-100-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),27,0.7249 (246 0.9998 0.9603 0.7144 0.5107),0.0039,21.66 min
300-100-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),53,0.7503 (194 0.9998 0.9744 0.7246 0.5524),0.0060,22.31 min
300-100-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),59,0.7566 (180 0.9997 0.9741 0.7277 0.5728),0.0046,11.20 min
300-100-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),46,0.7422 (209 0.9999 0.9709 0.7250 0.5283),0.0040,22.13 min
300-100-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),32,0.7364 (213 0.9998 0.9676 0.7169 0.5165),0.0065,22.21 min
300-100-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),35,0.7371 (215 0.9998 0.9691 0.7172 0.5178),0.0057,11.11 min
300-100-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),32,0.7312 (225 0.9999 0.9643 0.7190 0.5124),0.0023,22.07 min
300-100-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),22,0.7266 (233 0.9999 0.9603 0.7110 0.5084),0.0033,21.95 min
300-100-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),21,0.7243 (238 0.9998 0.9583 0.7155 0.4983),0.0036,11.07 min
300-100-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),34,0.7248 (243 0.9997 0.9623 0.7149 0.5036),0.0034,21.91 min
300-100-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),54,0.7517 (186 0.9998 0.9704 0.7277 0.5604),0.0065,22.30 min
300-100-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),53,0.7512 (186 0.9996 0.9696 0.7290 0.5605),0.0027,11.36 min
300-100-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),47,0.7411 (210 0.9996 0.9690 0.7174 0.5355),0.0049,22.30 min
300-100-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),28,0.7340 (223 1.0000 0.9652 0.7156 0.5237),0.0040,21.95 min
300-100-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),32,0.7358 (224 0.9998 0.9683 0.7172 0.5250),0.0033,10.93 min
300-100-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),28,0.7267 (228 0.9999 0.9599 0.7132 0.4995),0.0028,22.04 min
300-100-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),17,0.7214 (233 0.9996 0.9532 0.7093 0.5035),0.0048,21.90 min
300-100-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),20,0.7211 (245 0.9999 0.9561 0.7110 0.5068),0.0047,10.84 min
300-100-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),17,0.7226 (242 0.9999 0.9552 0.7152 0.5091),0.0031,22.18 min
300-100-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),50,0.7478 (206 0.9978 0.9741 0.7225 0.5498),0.0036,22.24 min
300-100-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),58,0.7545 (190 0.9969 0.9750 0.7276 0.5703),0.0026,11.21 min
300-100-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),44,0.7379 (214 0.9967 0.9686 0.7214 0.5251),0.0033,22.38 min
300-100-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),30,0.7320 (229 0.9984 0.9644 0.7182 0.5157),0.0041,22.19 min
300-100-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),32,0.7379 (224 0.9983 0.9699 0.7182 0.5311),0.0071,11.08 min
300-100-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),26,0.7280 (233 0.9979 0.9616 0.7201 0.5135),0.0058,22.11 min
300-100-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),17,0.7213 (249 0.9990 0.9570 0.7162 0.5032),0.0035,21.60 min
300-100-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),19,0.7275 (243 0.9992 0.9636 0.7115 0.5103),0.0037,11.00 min
300-100-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),18,0.7236 (244 0.9984 0.9597 0.7152 0.5039),0.0055,21.73 min
300-100-9e-05-0.005-0.005-10,(torneo uniforme elitismo),49,0.7446 (205 0.9975 0.9717 0.7253 0.5395),0.0076,22.38 min
300-100-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),55,0.7514 (196 0.9975 0.9713 0.7261 0.5697),0.0038,11.15 min
300-100-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),39,0.7330 (232 0.9980 0.9667 0.7179 0.5244),0.0023,22.25 min
300-100-9e-05-0.005-0.005-20,(torneo uniforme elitismo),27,0.7324 (232 0.9984 0.9660 0.7188 0.5163),0.0024,22.15 min
300-100-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),33,0.7391 (225 0.9979 0.9696 0.7208 0.5406),0.0035,10.97 min
300-100-9e-05-0.005-0.005-20,(torneo uniforme truncamiento),24,0.7239 (252 0.9981 0.9629 0.7152 0.5063),0.0039,21.95 min
300-100-9e-05-0.005-0.005-50,(torneo uniforme elitismo),17,0.7226 (243 0.9992 0.9569 0.7137 0.5062),0.0020,21.92 min
300-100-9e-05-0.005-0.005-50,(torneo uniforme reemplazo),18,0.7259 (241 0.9994 0.9620 0.7163 0.5028),0.0017,11.00 min
300-100-9e-05-0.005-0.005-50,(torneo uniforme truncamiento),19,0.7216 (251 0.9985 0.9583 0.7188 0.4984),0.0020,21.81 min
300-100-9e-05-0.005-0.05-10,(torneo uniforme elitismo),51,0.7463 (198 0.9981 0.9661 0.7243 0.5570),0.0025,22.19 min
300-100-9e-05-0.005-0.05-10,(torneo uniforme reemplazo),54,0.7505 (187 0.9975 0.9695 0.7287 0.5596),0.0055,11.16 min
300-100-9e-05-0.005-0.05-10,(torneo uniforme truncamiento),37,0.7349 (224 0.9981 0.9637 0.7197 0.5345),0.0032,22.20 min
300-100-9e-05-0.005-0.05-20,(torneo uniforme elitismo),29,0.7313 (225 0.9983 0.9619 0.7179 0.5191),0.0016,22.32 min
300-100-9e-05-0.005-0.05-20,(torneo uniforme reemplazo),29,0.7342 (224 0.9985 0.9660 0.7192 0.5209),0.0043,11.12 min
300-100-9e-05-0.005-0.05-20,(torneo uniforme truncamiento),26,0.7277 (240 0.9988 0.9631 0.7143 0.5106),0.0048,21.79 min
300-100-9e-05-0.005-0.05-50,(torneo uniforme elitismo),18,0.7218 (241 0.9989 0.9557 0.7127 0.5068),0.0053,21.73 min
300-100-9e-05-0.005-0.05-50,(torneo uniforme reemplazo),16,0.7244 (242 0.9992 0.9586 0.7145 0.5037),0.0055,10.83 min
300-100-9e-05-0.005-0.05-50,(torneo uniforme truncamiento),15,0.7196 (249 0.9989 0.9553 0.7112 0.5051),0.0016,21.83 min
300-100-9e-05-0.05-0.0005-10,(torneo uniforme elitismo),39,0.7274 (255 0.9845 0.9597 0.7224 0.5452),0.0051,22.18 min
300-100-9e-05-0.05-0.0005-10,(torneo uniforme reemplazo),39,0.7290 (234 0.9866 0.9535 0.7224 0.5513),0.0047,11.37 min
300-100-9e-05-0.05-0.0005-10,(torneo uniforme truncamiento),31,0.7199 (261 0.9877 0.9541 0.7196 0.5288),0.0018,22.24 min
300-100-9e-05-0.05-0.0005-20,(torneo uniforme elitismo),22,0.7210 (271 0.9895 0.9620 0.7170 0.5160),0.0034,22.20 min
300-100-9e-05-0.05-0.0005-20,(torneo uniforme reemplazo),22,0.7212 (256 0.9914 0.9558 0.7190 0.5186),0.0051,11.08 min
300-100-9e-05-0.05-0.0005-20,(torneo uniforme truncamiento),18,0.7157 (270 0.9925 0.9531 0.7193 0.5155),0.0043,22.16 min
300-100-9e-05-0.05-0.0005-50,(torneo uniforme elitismo),13,0.7099 (274 0.9933 0.9494 0.7172 0.4972),0.0037,21.80 min
300-100-9e-05-0.05-0.0005-50,(torneo uniforme reemplazo),15,0.7124 (279 0.9896 0.9544 0.7112 0.5068),0.0044,11.03 min
300-100-9e-05-0.05-0.0005-50,(torneo uniforme truncamiento),13,0.7117 (274 0.9922 0.9501 0.7171 0.4998),0.0058,21.80 min
300-100-9e-05-0.05-0.005-10,(torneo uniforme elitismo),33,0.7276 (242 0.9900 0.9566 0.7226 0.5411),0.0025,22.44 min
300-100-9e-05-0.05-0.005-10,(torneo uniforme reemplazo),41,0.7278 (252 0.9851 0.9581 0.7245 0.5489),0.0064,11.13 min
300-100-9e-05-0.05-0.005-10,(torneo uniforme truncamiento),35,0.7199 (272 0.9867 0.9590 0.7186 0.5273),0.0029,22.27 min
300-100-9e-05-0.05-0.005-20,(torneo uniforme elitismo),22,0.7171 (264 0.9907 0.9542 0.7191 0.5147),0.0031,21.89 min
300-100-9e-05-0.05-0.005-20,(torneo uniforme reemplazo),26,0.7238 (254 0.9890 0.9569 0.7234 0.5277),0.0031,11.03 min
300-100-9e-05-0.05-0.005-20,(torneo uniforme truncamiento),20,0.7139 (276 0.9910 0.9545 0.7154 0.5049),0.0058,22.65 min
300-100-9e-05-0.05-0.005-50,(torneo uniforme elitismo),12,0.7139 (269 0.9947 0.9523 0.7131 0.5002),0.0039,21.87 min
300-100-9e-05-0.05-0.005-50,(torneo uniforme reemplazo),15,0.7127 (265 0.9922 0.9539 0.7199 0.4885),0.0017,10.96 min
300-100-9e-05-0.05-0.005-50,(torneo uniforme truncamiento),14,0.7118 (275 0.9924 0.9526 0.7159 0.4968),0.0043,21.77 min
300-100-9e-05-0.05-0.05-10,(torneo uniforme elitismo),36,0.7245 (249 0.9864 0.9570 0.7208 0.5319),0.0042,22.18 min
300-100-9e-05-0.05-0.05-10,(torneo uniforme reemplazo),38,0.7311 (232 0.9906 0.9547 0.7271 0.5527),0.0045,11.17 min
300-100-9e-05-0.05-0.05-10,(torneo uniforme truncamiento),22,0.7146 (258 0.9926 0.9475 0.7175 0.5055),0.0030,22.27 min
300-100-9e-05-0.05-0.05-20,(torneo uniforme elitismo),21,0.7147 (273 0.9902 0.9558 0.7144 0.5093),0.0045,21.91 min
300-100-9e-05-0.05-0.05-20,(torneo uniforme reemplazo),22,0.7190 (252 0.9907 0.9526 0.7165 0.5177),0.0053,11.08 min
300-100-9e-05-0.05-0.05-20,(torneo uniforme truncamiento),19,0.7145 (270 0.9915 0.9514 0.7199 0.5080),0.0019,21.90 min
300-100-9e-05-0.05-0.05-50,(torneo uniforme elitismo),11,0.7132 (253 0.9951 0.9469 0.7173 0.4975),0.0050,21.86 min
300-100-9e-05-0.05-0.05-50,(torneo uniforme reemplazo),18,0.7153 (276 0.9904 0.9576 0.7087 0.5091),0.0035,10.92 min
300-100-9e-05-0.05-0.05-50,(torneo uniforme truncamiento),11,0.7106 (268 0.9944 0.9491 0.7139 0.4968),0.0022,21.72 min
300-50-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),49,0.7486 (195 0.9998 0.9709 0.7223 0.5563),0.0040,11.35 min
300-50-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),50,0.7548 (172 0.9998 0.9697 0.7264 0.5648),0.0030,5.73 min
300-50-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),41,0.7361 (233 0.9999 0.9710 0.7207 0.5257),0.0038,11.27 min
300-50-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),33,0.7347 (219 0.9998 0.9654 0.7240 0.5158),0.0055,11.13 min
300-50-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),35,0.7419 (213 0.9998 0.9702 0.7191 0.5397),0.0018,5.63 min
300-50-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),32,0.7338 (223 0.9997 0.9699 0.7190 0.5027),0.0037,11.15 min
300-50-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),19,0.7258 (237 0.9998 0.9596 0.7140 0.5036),0.0024,11.17 min
300-50-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),20,0.7262 (237 0.9997 0.9589 0.7156 0.5110),0.0073,5.52 min
300-50-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),19,0.7239 (239 1.0000 0.9580 0.7139 0.5015),0.0042,10.91 min
300-50-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),50,0.7465 (197 0.9997 0.9725 0.7272 0.5394),0.0028,11.27 min
300-50-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),50,0.7553 (175 1.0000 0.9709 0.7279 0.5706),0.0019,5.75 min
300-50-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),42,0.7393 (213 0.9999 0.9700 0.7183 0.5238),0.0062,11.10 min
300-50-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),32,0.7347 (217 0.9999 0.9679 0.7181 0.5057),0.0071,11.32 min
300-50-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),38,0.7389 (213 0.9998 0.9676 0.7218 0.5265),0.0064,5.66 min
300-50-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),29,0.7288 (236 0.9999 0.9639 0.7135 0.5138),0.0059,11.13 min
300-50-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),19,0.7219 (240 0.9998 0.9552 0.7159 0.5018),0.0034,10.97 min
300-50-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),20,0.7285 (229 0.9999 0.9623 0.7143 0.5112),0.0045,5.56 min
300-50-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),21,0.7290 (235 0.9999 0.9643 0.7139 0.5091),0.0033,11.13 min
300-50-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),50,0.7476 (193 0.9998 0.9702 0.7265 0.5510),0.0023,11.24 min
300-50-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),49,0.7506 (188 0.9996 0.9672 0.7246 0.5729),0.0036,5.65 min
300-50-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),37,0.7310 (229 0.9999 0.9619 0.7204 0.5210),0.0061,11.12 min
300-50-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),29,0.7314 (224 0.9999 0.9624 0.7183 0.5234),0.0085,11.06 min
300-50-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),31,0.7352 (222 0.9998 0.9659 0.7242 0.5278),0.0050,5.55 min
300-50-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),24,0.7255 (231 0.9999 0.9584 0.7148 0.5067),0.0100,11.07 min
300-50-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),18,0.7229 (243 0.9997 0.9591 0.7140 0.4967),0.0024,11.05 min
300-50-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),16,0.7194 (241 0.9998 0.9537 0.7180 0.4936),0.0081,5.50 min
300-50-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),18,0.7200 (243 0.9998 0.9554 0.7121 0.4950),0.0060,10.99 min
300-50-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),47,0.7446 (213 0.9978 0.9738 0.7238 0.5378),0.0051,11.30 min
300-50-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),50,0.7526 (182 0.9983 0.9683 0.7308 0.5676),0.0033,5.75 min
300-50-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),41,0.7360 (226 0.9974 0.9692 0.7181 0.5249),0.0014,11.32 min
300-50-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),30,0.7310 (241 0.9980 0.9675 0.7155 0.5199),0.0042,11.05 min
300-50-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),31,0.7351 (225 0.9987 0.9675 0.7164 0.5268),0.0071,5.58 min
300-50-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),23,0.7262 (235 0.9985 0.9626 0.7115 0.5008),0.0057,11.11 min
300-50-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),17,0.7205 (242 0.9991 0.9564 0.7131 0.4939),0.0031,11.03 min
300-50-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),17,0.7234 (237 0.9989 0.9567 0.7199 0.4997),0.0044,5.50 min
300-50-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),17,0.7218 (255 0.9988 0.9613 0.7129 0.4987),0.0039,10.95 min
300-50-9e-05-0.005-0.005-10,(torneo uniforme elitismo),47,0.7432 (209 0.9973 0.9712 0.7245 0.5394),0.0087,11.20 min
300-50-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),50,0.7500 (191 0.9978 0.9713 0.7275 0.5598),0.0025,5.70 min
300-50-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),43,0.7381 (220 0.9980 0.9702 0.7205 0.5275),0.0059,11.23 min
300-50-9e-05-0.005-0.005-20,(torneo uniforme elitismo),25,0.7264 (237 0.9988 0.9636 0.7135 0.5059),0.0087,11.04 min
300-50-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),35,0.7421 (215 0.9982 0.9707 0.7170 0.5439),0.0035,5.64 min
300-50-9e-05-0.005-0.005-20,(torneo uniforme truncamiento),31,0.7343 (226 0.9976 0.9657 0.7203 0.5240),0.0038,11.30 min
300-50-9e-05-0.005-0.005-50,(torneo uniforme elitismo),17,0.7194 (259 0.9981 0.9591 0.7107 0.5051),0.0054,11.03 min
