(Seleccion Cruce Sustitucion),Generacion,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness,Tiempo
(torneo punto reemplazo),17,254,1.0000,0.9397,0.7066,0.4887,0.7078,9.01 min
(torneo punto elitismo),17,256,1.0000,0.9413,0.7151,0.4863,0.7088,17.94 min
(torneo punto truncamiento),22,251,1.0000,0.9393,0.7039,0.4954,0.7088,18.29 min
(torneo varios_puntos reemplazo),30,254,0.9995,0.9487,0.7308,0.4979,0.7157,8.90 min
(torneo varios_puntos elitismo),23,241,0.9996,0.9345,0.7105,0.4729,0.7049,17.65 min
(torneo varios_puntos truncamiento),24,251,0.9992,0.9461,0.7174,0.4938,0.7125,17.68 min
(torneo uniforme reemplazo),49,152,0.9994,0.9570,0.7329,0.5860,0.7542,9.36 min
(torneo uniforme elitismo),50,161,1.0000,0.9572,0.7340,0.5873,0.7543,18.76 min
(torneo uniforme truncamiento),50,195,0.9998,0.9692,0.7238,0.5433,0.7471,19.00 min
(fitness punto reemplazo),17,262,1.0000,0.9142,0.7219,0.4666,0.6903,9.00 min
(fitness punto elitismo),24,269,1.0000,0.9286,0.7195,0.4487,0.6953,18.35 min
(fitness punto truncamiento),50,243,0.9998,0.9440,0.7178,0.5094,0.7169,18.27 min
(fitness varios_puntos reemplazo),36,283,1.0000,0.9193,0.7123,0.4746,0.6885,9.20 min
(fitness varios_puntos elitismo),48,264,1.0000,0.9182,0.7130,0.4782,0.6915,18.73 min
(fitness varios_puntos truncamiento),50,251,0.9995,0.9404,0.7190,0.5009,0.7111,18.39 min
(fitness uniforme reemplazo),18,295,1.0000,0.9236,0.7124,0.4838,0.6898,9.67 min
(fitness uniforme elitismo),12,265,1.0000,0.9150,0.7116,0.4679,0.6870,19.55 min
(fitness uniforme truncamiento),48,221,1.0000,0.9251,0.7173,0.4903,0.7060,19.05 min
(rango punto reemplazo),47,231,0.9999,0.9356,0.7219,0.5053,0.7129,9.03 min
(rango punto elitismo),46,235,1.0000,0.9374,0.7187,0.5118,0.7156,18.28 min
(rango punto truncamiento),43,257,0.9995,0.9425,0.7146,0.5026,0.7113,18.12 min
(rango varios_puntos reemplazo),47,235,1.0000,0.9369,0.7138,0.5021,0.7119,9.24 min
(rango varios_puntos elitismo),50,226,1.0000,0.9381,0.7283,0.5183,0.7171,18.33 min
(rango varios_puntos truncamiento),50,249,0.9991,0.9475,0.7227,0.5082,0.7175,18.45 min
(rango uniforme reemplazo),48,215,1.0000,0.9171,0.7121,0.5265,0.7095,9.73 min
(rango uniforme elitismo),48,210,1.0000,0.9231,0.7235,0.5014,0.7103,19.31 min
(rango uniforme truncamiento),49,210,1.0000,0.9221,0.7172,0.5248,0.7120,19.10 min
,,,,,,,,6.94 hr
