Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6878,266,1.0000,0.9124,0.7067,0.4788,0.6586,0.0114,20.54 seg
2,0.6890,263,1.0000,0.9154,0.7048,0.4724,0.6666,0.0084,23.61 seg
3,0.6890,263,1.0000,0.9154,0.7048,0.4724,0.6698,0.0083,21.79 seg
4,0.6915,258,1.0000,0.9150,0.7177,0.4750,0.6717,0.0086,21.99 seg
5,0.6939,246,1.0000,0.9103,0.7150,0.4931,0.6739,0.0078,22.04 seg
6,0.6995,258,1.0000,0.9267,0.7282,0.4783,0.6767,0.0078,21.82 seg
7,0.6995,237,1.0000,0.9174,0.7087,0.4960,0.6789,0.0077,24.79 seg
8,0.7000,248,1.0000,0.9212,0.7029,0.5049,0.6812,0.0076,21.58 seg
9,0.7000,248,1.0000,0.9212,0.7029,0.5049,0.6830,0.0080,22.30 seg
10,0.7035,232,0.9999,0.9206,0.7190,0.4972,0.6843,0.0076,21.82 seg
11,0.7040,236,1.0000,0.9195,0.7125,0.5140,0.6873,0.0073,21.19 seg
12,0.7049,227,1.0000,0.9194,0.7129,0.5079,0.6887,0.0073,25.25 seg
13,0.7074,228,0.9995,0.9223,0.7033,0.5217,0.6911,0.0075,21.92 seg
14,0.7094,226,0.9999,0.9289,0.7086,0.5041,0.6929,0.0070,21.84 seg
15,0.7122,222,0.9995,0.9293,0.7073,0.5169,0.6947,0.0069,21.97 seg
16,0.7149,209,0.9999,0.9268,0.7123,0.5223,0.6970,0.0069,22.31 seg
17,0.7149,209,0.9999,0.9268,0.7123,0.5223,0.6987,0.0063,22.06 seg
18,0.7167,221,1.0000,0.9314,0.7181,0.5301,0.7007,0.0063,25.94 seg
19,0.7196,212,0.9999,0.9314,0.7236,0.5335,0.7022,0.0065,22.44 seg
20,0.7206,201,0.9999,0.9294,0.7192,0.5348,0.7043,0.0066,22.13 seg
21,0.7203,193,0.9998,0.9270,0.7201,0.5301,0.7069,0.0057,21.11 seg
22,0.7227,208,0.9994,0.9333,0.7172,0.5457,0.7087,0.0061,22.00 seg
23,0.7262,201,0.9994,0.9369,0.7130,0.5488,0.7105,0.0057,22.31 seg
24,0.7262,201,0.9994,0.9369,0.7130,0.5488,0.7116,0.0059,22.33 seg
25,0.7262,201,0.9994,0.9369,0.7130,0.5488,0.7126,0.0055,26.21 seg
26,0.7287,180,0.9996,0.9395,0.7157,0.5241,0.7142,0.0055,21.57 seg
27,0.7297,190,0.9994,0.9408,0.7145,0.5412,0.7160,0.0058,21.64 seg
28,0.7307,190,0.9995,0.9357,0.7145,0.5670,0.7177,0.0050,22.78 seg
29,0.7355,180,0.9995,0.9440,0.7139,0.5544,0.7191,0.0054,21.79 seg
30,0.7355,180,0.9995,0.9440,0.7139,0.5544,0.7209,0.0048,22.20 seg
31,0.7355,180,0.9995,0.9440,0.7139,0.5544,0.7223,0.0050,21.61 seg
32,0.7363,172,0.9994,0.9364,0.7231,0.5701,0.7242,0.0052,25.95 seg
33,0.7385,169,0.9996,0.9428,0.7296,0.5530,0.7263,0.0048,22.15 seg
34,0.7397,169,0.9994,0.9425,0.7175,0.5702,0.7280,0.0049,21.41 seg
35,0.7404,172,0.9991,0.9458,0.7135,0.5699,0.7304,0.0045,21.95 seg
36,0.7425,174,0.9988,0.9494,0.7187,0.5699,0.7320,0.0042,21.67 seg
37,0.7459,174,0.9988,0.9547,0.7201,0.5721,0.7343,0.0039,21.35 seg
38,0.7464,175,0.9991,0.9544,0.7161,0.5810,0.7360,0.0039,21.74 seg
39,0.7488,163,0.9987,0.9534,0.7209,0.5803,0.7379,0.0033,21.87 seg
40,0.7488,163,0.9987,0.9534,0.7209,0.5803,0.7394,0.0034,21.79 seg
41,0.7502,167,0.9990,0.9604,0.7180,0.5716,0.7413,0.0034,27.41 seg
42,0.7509,165,0.9992,0.9582,0.7235,0.5777,0.7432,0.0030,21.89 seg
43,0.7525,166,0.9992,0.9609,0.7209,0.5816,0.7437,0.0032,22.07 seg
44,0.7521,161,0.9991,0.9592,0.7224,0.5768,0.7452,0.0030,22.02 seg
45,0.7514,168,0.9987,0.9593,0.7180,0.5853,0.7456,0.0028,21.56 seg
46,0.7543,166,0.9982,0.9630,0.7188,0.5881,0.7470,0.0028,21.76 seg
47,0.7547,165,0.9986,0.9631,0.7216,0.5868,0.7487,0.0025,21.58 seg
48,0.7555,171,0.9977,0.9654,0.7220,0.5928,0.7498,0.0026,22.15 seg
49,0.7565,162,0.9984,0.9653,0.7203,0.5875,0.7513,0.0022,21.73 seg
50,0.7575,165,0.9979,0.9663,0.7192,0.5960,0.7522,0.0023,27.91 seg
51,0.7584,166,0.9983,0.9713,0.7196,0.5841,0.7535,0.0021,21.22 seg
52,0.7593,164,0.9984,0.9707,0.7212,0.5888,0.7545,0.0020,21.69 seg
