Generacion,Fitness,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness(μ),Fitness(σ),Tiempo
1,0.6815,280,1.0000,0.9107,0.7120,0.4617,0.6585,0.0111,10.63 seg
2,0.6854,277,1.0000,0.9122,0.7205,0.4723,0.6677,0.0087,11.20 seg
3,0.6944,283,1.0000,0.9302,0.7226,0.4734,0.6712,0.0087,11.04 seg
4,0.6939,255,1.0000,0.9172,0.7163,0.4815,0.6746,0.0074,11.33 seg
5,0.6947,257,1.0000,0.9193,0.7130,0.4850,0.6774,0.0075,11.25 seg
6,0.6982,260,1.0000,0.9239,0.7161,0.4935,0.6795,0.0076,11.75 seg
7,0.6987,256,1.0000,0.9149,0.7263,0.5172,0.6830,0.0067,13.86 seg
8,0.7055,246,1.0000,0.9357,0.7094,0.4833,0.6852,0.0077,11.36 seg
9,0.7045,231,1.0000,0.9188,0.7199,0.5105,0.6874,0.0071,10.91 seg
10,0.7099,240,0.9994,0.9307,0.7217,0.5147,0.6912,0.0068,11.47 seg
11,0.7131,231,1.0000,0.9290,0.7231,0.5281,0.6940,0.0070,11.40 seg
12,0.7144,241,0.9999,0.9342,0.7295,0.5277,0.6979,0.0064,11.16 seg
13,0.7149,222,0.9996,0.9276,0.7336,0.5258,0.7015,0.0058,11.60 seg
14,0.7185,225,0.9999,0.9339,0.7325,0.5312,0.7045,0.0058,11.43 seg
15,0.7199,229,0.9999,0.9369,0.7334,0.5348,0.7083,0.0051,11.50 seg
16,0.7225,227,0.9999,0.9432,0.7348,0.5255,0.7123,0.0046,14.35 seg
17,0.7262,209,0.9997,0.9415,0.7312,0.5328,0.7151,0.0041,11.51 seg
18,0.7259,226,0.9990,0.9455,0.7290,0.5424,0.7177,0.0038,11.14 seg
19,0.7276,219,0.9986,0.9437,0.7349,0.5470,0.7191,0.0038,11.10 seg
20,0.7298,209,0.9989,0.9427,0.7402,0.5468,0.7209,0.0035,11.22 seg
21,0.7309,213,0.9986,0.9460,0.7398,0.5482,0.7230,0.0033,11.42 seg
22,0.7321,219,0.9984,0.9529,0.7367,0.5418,0.7245,0.0032,11.63 seg
23,0.7360,217,0.9984,0.9553,0.7361,0.5565,0.7265,0.0032,11.23 seg
24,0.7336,221,0.9978,0.9518,0.7355,0.5602,0.7278,0.0029,10.48 seg
25,0.7349,218,0.9981,0.9538,0.7411,0.5531,0.7293,0.0026,10.89 seg
26,0.7362,215,0.9978,0.9543,0.7382,0.5580,0.7308,0.0023,11.23 seg
27,0.7379,224,0.9977,0.9612,0.7403,0.5551,0.7322,0.0021,14.79 seg
28,0.7387,215,0.9977,0.9585,0.7402,0.5576,0.7331,0.0022,11.08 seg
29,0.7365,217,0.9969,0.9568,0.7366,0.5547,0.7327,0.0019,11.03 seg
30,0.7356,230,0.9965,0.9585,0.7362,0.5620,0.7315,0.0016,11.25 seg
31,0.7369,226,0.9965,0.9586,0.7390,0.5627,0.7326,0.0017,11.03 seg
32,0.7352,229,0.9958,0.9564,0.7375,0.5650,0.7314,0.0016,11.53 seg
33,0.7363,234,0.9957,0.9613,0.7394,0.5602,0.7324,0.0015,11.19 seg
34,0.7358,234,0.9958,0.9603,0.7385,0.5613,0.7327,0.0013,10.91 seg
35,0.7370,234,0.9955,0.9642,0.7381,0.5555,0.7330,0.0014,11.01 seg
36,0.7368,236,0.9959,0.9617,0.7394,0.5649,0.7336,0.0012,11.21 seg
37,0.7361,236,0.9951,0.9627,0.7374,0.5589,0.7331,0.0012,10.72 seg
38,0.7344,240,0.9946,0.9613,0.7360,0.5591,0.7315,0.0012,10.99 seg
39,0.7338,243,0.9937,0.9607,0.7362,0.5623,0.7317,0.0011,11.13 seg
40,0.7343,246,0.9937,0.9632,0.7348,0.5615,0.7326,0.0008,11.07 seg
41,0.7343,244,0.9934,0.9623,0.7346,0.5621,0.7325,0.0008,11.30 seg
42,0.7350,245,0.9932,0.9640,0.7343,0.5628,0.7334,0.0008,15.70 seg
43,0.7349,245,0.9932,0.9637,0.7341,0.5630,0.7338,0.0006,11.19 seg
44,0.7336,245,0.9932,0.9617,0.7328,0.5628,0.7331,0.0003,11.10 seg
45,0.7333,244,0.9932,0.9608,0.7323,0.5631,0.7332,0.0001,11.12 seg
46,0.7336,244,0.9932,0.9612,0.7326,0.5631,0.7336,0.0000,11.44 seg
47,0.7327,245,0.9929,0.9601,0.7324,0.5629,0.7327,0.0000,11.07 seg
48,0.7312,249,0.9923,0.9588,0.7336,0.5636,0.7312,0.0000,11.03 seg
49,0.7301,250,0.9923,0.9574,0.7327,0.5634,0.7301,0.0000,11.28 seg
50,0.7298,252,0.9920,0.9575,0.7324,0.5640,0.7298,0.0000,10.90 seg
