(Seleccion Cruce Sustitucion),Generacion,Solapes,Cohesion Teoria,Equilibrio,Cohesion Practicas,Preferencias,Fitness,Tiempo
(torneo punto reemplazo),26,262,0.9993,0.9371,0.7212,0.4975,0.7084,8.83 min
(torneo punto elitismo),20,249,1.0000,0.9372,0.7180,0.4695,0.7049,17.64 min
(torneo punto truncamiento),21,257,1.0000,0.9411,0.7120,0.4755,0.7058,17.99 min
(torneo varios_puntos reemplazo),16,256,1.0000,0.9517,0.7170,0.4841,0.7136,8.98 min
(torneo varios_puntos elitismo),21,247,1.0000,0.9440,0.7218,0.4726,0.7098,17.67 min
(torneo varios_puntos truncamiento),29,249,0.9995,0.9478,0.7062,0.4787,0.7094,17.70 min
(torneo uniforme reemplazo),50,146,1.0000,0.9556,0.7325,0.5910,0.7572,9.50 min
(torneo uniforme elitismo),49,153,1.0000,0.9601,0.7492,0.5861,0.7590,19.29 min
(torneo uniforme truncamiento),49,173,0.9995,0.9659,0.7332,0.5703,0.7538,19.07 min
(fitness punto reemplazo),11,286,1.0000,0.9247,0.7120,0.4805,0.6945,8.96 min
(fitness punto elitismo),34,275,1.0000,0.9224,0.7160,0.4734,0.6925,18.13 min
(fitness punto truncamiento),49,246,0.9993,0.9409,0.7097,0.4889,0.7107,17.95 min
(fitness varios_puntos reemplazo),2,267,1.0000,0.9137,0.7167,0.4799,0.6902,9.14 min
(fitness varios_puntos elitismo),38,266,1.0000,0.9143,0.7044,0.4886,0.6909,18.14 min
(fitness varios_puntos truncamiento),50,242,0.9998,0.9364,0.7167,0.4946,0.7091,18.38 min
(fitness uniforme reemplazo),1,274,1.0000,0.9190,0.7095,0.4745,0.6914,9.58 min
(fitness uniforme elitismo),34,270,1.0000,0.9240,0.7063,0.4611,0.6899,19.13 min
(fitness uniforme truncamiento),50,238,1.0000,0.9295,0.7091,0.5039,0.7068,19.24 min
(rango punto reemplazo),46,229,0.9997,0.9414,0.7222,0.5128,0.7192,9.16 min
(rango punto elitismo),49,231,0.9995,0.9399,0.7217,0.5024,0.7177,18.20 min
(rango punto truncamiento),43,271,0.9998,0.9461,0.7107,0.5021,0.7104,17.86 min
(rango varios_puntos reemplazo),46,220,0.9993,0.9298,0.7199,0.5163,0.7145,9.31 min
(rango varios_puntos elitismo),50,222,0.9980,0.9504,0.7179,0.5017,0.7224,18.20 min
(rango varios_puntos truncamiento),49,239,0.9996,0.9520,0.7100,0.4804,0.7163,18.26 min
(rango uniforme reemplazo),47,215,1.0000,0.9237,0.7197,0.5308,0.7144,9.75 min
(rango uniforme elitismo),49,204,1.0000,0.9257,0.7164,0.5330,0.7181,19.11 min
(rango uniforme truncamiento),48,222,1.0000,0.9246,0.7186,0.5372,0.7139,18.79 min
,,,,,,,,6.90 hr
