(Poblacion Generaciones Mutacion Elemento Mutacion Teoria Mutacion Practica Torneo),(Selección Cruce Sustitucion),Mejor Generacion,Mejor Fitness,Tiempo
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),27,0.7251 ( 246 0.9997 0.9580 0.7218 0.5094 ) ,7.64 min
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),31,0.7323 ( 223 1.0000 0.9590 0.7193 0.5211 ) ,3.84 min
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),33,0.7311 ( 217 0.9998 0.9599 0.7186 0.5166 ) ,7.71 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),18,0.7143 ( 263 1.0000 0.9539 0.7104 0.4773 ) ,7.37 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),24,0.7232 ( 250 1.0000 0.9579 0.7192 0.5146 ) ,3.95 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),17,0.7153 ( 248 1.0000 0.9530 0.7131 0.4778 ) ,7.33 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),9,0.7062 ( 271 1.0000 0.9422 0.7120 0.4842 ) ,7.56 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),12,0.7120 ( 265 1.0000 0.9498 0.7156 0.4982 ) ,3.83 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),9,0.7098 ( 253 1.0000 0.9467 0.7133 0.4675 ) ,7.72 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),35,0.7240 ( 227 1.0000 0.9566 0.7123 0.5027 ) ,7.72 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),33,0.7321 ( 208 1.0000 0.9649 0.7103 0.5030 ) ,3.77 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),23,0.7146 ( 233 1.0000 0.9521 0.7067 0.4654 ) ,7.67 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),51,0.7153 ( 250 1.0000 0.9498 0.7160 0.4939 ) ,7.54 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),14,0.7014 ( 273 1.0000 0.9390 0.7050 0.4882 ) ,3.67 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),15,0.7109 ( 271 1.0000 0.9477 0.7201 0.4923 ) ,7.49 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),13,0.7146 ( 261 1.0000 0.9528 0.7029 0.4925 ) ,7.39 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),23,0.7091 ( 233 1.0000 0.9371 0.7059 0.4841 ) ,3.71 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),12,0.7178 ( 247 1.0000 0.9550 0.7130 0.4780 ) ,7.45 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),47,0.7264 ( 238 1.0000 0.9619 0.7137 0.5094 ) ,7.83 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),34,0.7285 ( 230 0.9997 0.9644 0.7244 0.4947 ) ,3.76 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),24,0.7193 ( 254 0.9997 0.9561 0.7016 0.5122 ) ,7.34 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),48,0.7240 ( 230 1.0000 0.9555 0.7153 0.5106 ) ,7.71 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),21,0.7292 ( 234 1.0000 0.9617 0.7236 0.5147 ) ,3.85 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),21,0.7124 ( 259 1.0000 0.9515 0.7129 0.4884 ) ,7.48 min
100-100-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),35,0.7049 ( 264 1.0000 0.9455 0.7135 0.4633 ) ,7.39 min
100-100-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),11,0.7069 ( 263 1.0000 0.9407 0.7171 0.4772 ) ,3.69 min
100-100-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),12,0.7063 ( 258 1.0000 0.9459 0.7105 0.4621 ) ,7.30 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),29,0.7281 ( 240 0.9996 0.9589 0.7230 0.5264 ) ,7.43 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),34,0.7286 ( 236 0.9994 0.9637 0.7180 0.5058 ) ,3.79 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),18,0.7114 ( 252 0.9992 0.9512 0.7108 0.4854 ) ,7.43 min
100-100-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),11,0.7050 ( 276 0.9995 0.9450 0.7134 0.4773 ) ,7.34 min
100-100-9e-05-0.005-0.0005-20,(torneo uniforme reemplazo),19,0.7163 ( 265 0.9997 0.9552 0.7140 0.4980 ) ,3.67 min
100-100-9e-05-0.005-0.0005-20,(torneo uniforme truncamiento),17,0.7142 ( 266 0.9993 0.9581 0.7110 0.4862 ) ,7.44 min
100-100-9e-05-0.005-0.0005-50,(torneo uniforme elitismo),13,0.7102 ( 252 0.9990 0.9415 0.7075 0.4982 ) ,7.33 min
100-100-9e-05-0.005-0.0005-50,(torneo uniforme reemplazo),11,0.7157 ( 255 1.0000 0.9437 0.7228 0.5149 ) ,3.78 min
100-100-9e-05-0.005-0.0005-50,(torneo uniforme truncamiento),14,0.7100 ( 245 0.9997 0.9424 0.7082 0.4802 ) ,7.51 min
100-100-9e-05-0.005-0.005-10,(torneo uniforme elitismo),25,0.7137 ( 258 0.9997 0.9518 0.7066 0.4903 ) ,7.50 min
100-100-9e-05-0.005-0.005-10,(torneo uniforme reemplazo),34,0.7293 ( 233 0.9989 0.9610 0.7131 0.5235 ) ,3.77 min
100-100-9e-05-0.005-0.005-10,(torneo uniforme truncamiento),26,0.7185 ( 243 0.9995 0.9545 0.7104 0.4799 ) ,7.77 min
100-100-9e-05-0.005-0.005-20,(torneo uniforme elitismo),20,0.7162 ( 244 0.9997 0.9525 0.7018 0.4861 ) ,7.57 min
100-100-9e-05-0.005-0.005-20,(torneo uniforme reemplazo),18,0.7182 ( 239 0.9996 0.9479 0.7151 0.4972 ) ,3.75 min
