(Poblacion Generaciones Mutacion Elemento Mutacion Teoria Mutacion Practica Torneo),(Selección Cruce Sustitucion),Mejor Generacion,Mejor Fitness,Tiempo
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme elitismo),27,0.7206 ( 240 1.0000 0.9585 0.7134 0.4920 ) ,7.52 min
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme reemplazo),33,0.7311 ( 217 1.0000 0.9651 0.7046 0.4998 ) ,3.75 min
100-100-9e-05-0.0005-0.0005-10,(torneo uniforme truncamiento),88,0.7151 ( 260 1.0000 0.9571 0.7145 0.4826 ) ,7.40 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme elitismo),29,0.7178 ( 243 1.0000 0.9514 0.7132 0.4944 ) ,7.55 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme reemplazo),21,0.7198 ( 250 1.0000 0.9521 0.7226 0.5142 ) ,3.71 min
100-100-9e-05-0.0005-0.0005-20,(torneo uniforme truncamiento),21,0.7173 ( 253 1.0000 0.9592 0.7110 0.4809 ) ,7.28 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme elitismo),13,0.7086 ( 255 0.9997 0.9423 0.7092 0.4927 ) ,7.40 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme reemplazo),12,0.7110 ( 250 1.0000 0.9468 0.7229 0.4754 ) ,3.80 min
100-100-9e-05-0.0005-0.0005-50,(torneo uniforme truncamiento),51,0.7116 ( 279 0.9998 0.9525 0.7071 0.4861 ) ,7.21 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme elitismo),25,0.7201 ( 256 1.0000 0.9581 0.7139 0.4983 ) ,7.47 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme reemplazo),45,0.7336 ( 220 1.0000 0.9672 0.7225 0.5052 ) ,3.73 min
100-100-9e-05-0.0005-0.005-10,(torneo uniforme truncamiento),27,0.7188 ( 246 1.0000 0.9568 0.7167 0.4757 ) ,7.32 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme elitismo),17,0.7169 ( 252 0.9997 0.9519 0.7023 0.5122 ) ,7.40 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme reemplazo),18,0.7204 ( 233 1.0000 0.9550 0.7132 0.4921 ) ,3.78 min
100-100-9e-05-0.0005-0.005-20,(torneo uniforme truncamiento),45,0.7167 ( 244 0.9999 0.9512 0.7089 0.4968 ) ,7.47 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme elitismo),12,0.7096 ( 274 1.0000 0.9527 0.7152 0.4800 ) ,7.24 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme reemplazo),13,0.7084 ( 242 0.9997 0.9378 0.7131 0.4906 ) ,3.66 min
100-100-9e-05-0.0005-0.005-50,(torneo uniforme truncamiento),31,0.7121 ( 260 1.0000 0.9512 0.7109 0.4755 ) ,7.34 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme elitismo),22,0.7170 ( 236 1.0000 0.9470 0.7156 0.4940 ) ,7.40 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme reemplazo),39,0.7301 ( 238 1.0000 0.9636 0.7211 0.5175 ) ,3.72 min
100-100-9e-05-0.0005-0.05-10,(torneo uniforme truncamiento),27,0.7136 ( 272 1.0000 0.9592 0.7132 0.4771 ) ,7.36 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme elitismo),18,0.7196 ( 239 1.0000 0.9606 0.7043 0.4826 ) ,7.62 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme reemplazo),28,0.7136 ( 254 0.9998 0.9501 0.7065 0.4882 ) ,3.68 min
100-100-9e-05-0.0005-0.05-20,(torneo uniforme truncamiento),23,0.7176 ( 240 1.0000 0.9560 0.7035 0.4891 ) ,7.32 min
100-100-9e-05-0.0005-0.05-50,(torneo uniforme elitismo),9,0.7054 ( 265 1.0000 0.9414 0.7020 0.4848 ) ,7.26 min
100-100-9e-05-0.0005-0.05-50,(torneo uniforme reemplazo),22,0.7126 ( 249 1.0000 0.9550 0.7145 0.4733 ) ,3.77 min
100-100-9e-05-0.0005-0.05-50,(torneo uniforme truncamiento),16,0.7173 ( 252 1.0000 0.9513 0.7120 0.5047 ) ,7.30 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme elitismo),24,0.7188 ( 241 0.9997 0.9556 0.7079 0.4953 ) ,7.42 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme reemplazo),37,0.7321 ( 211 1.0000 0.9607 0.7254 0.4973 ) ,3.75 min
100-100-9e-05-0.005-0.0005-10,(torneo uniforme truncamiento),30,0.7264 ( 230 0.9997 0.9562 0.7112 0.5171 ) ,7.57 min
100-100-9e-05-0.005-0.0005-20,(torneo uniforme elitismo),18,0.7160 ( 250 0.9995 0.9540 0.7195 0.4900 ) ,7.22 min
